budget,method,workload_cap,cases,requests_mean,requests_ci_low,requests_ci_high,planned_mean,planned_ci_low,planned_ci_high,planned_workload_mean,planned_workload_ci_low,planned_workload_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completed_mean,completed_ci_low,completed_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,schedule_gap_mean,schedule_gap_ci_low,schedule_gap_ci_high,plan_execution_rate_mean,plan_execution_rate_ci_low,plan_execution_rate_ci_high,complete_plan_mean,complete_plan_ci_low,complete_plan_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14,Greedy event,0,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,0,0,0,38.947916666666664,38.84583333333333,39.05,38.947916666666664,38.84583333333333,39.05,88.45,87.448307720006,89.451692279994,122.54871391406454,121.27756553340747,123.8198622947216,0,0,0,0,0,0,0,0,0,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.33472222222222264,0.3320000000000004,0.3374444444444449,0.3326388888888892,0.3312777777777781,0.3340000000000003,0.9380256592352689,0.9377720690191292,0.9382792494514086
14,Time plan 900,900,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9378884614015601,0.937885545739019,0.9378913770641012
14,Time plan 930,930,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9378884614015601,0.937885545739019,0.9378913770641012
14,Time plan 960,960,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9378884614015601,0.937885545739019,0.9378913770641012
14.05,Greedy event,0,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,0,0,0,23,23,23,23,23,23,104.39791666666666,103.40253102192736,105.39330231140596,68.90414232093813,67.99672668918816,69.8115579526881,0,0,0,0,0,0,0,0,0,0.31132246376811623,0.3064467770597137,0.3161981504765188,0.608695652173912,0.6086956521739119,0.6086956521739121,0.0799818840579709,0.07510619734956837,0.08485757076637342,0.9996578927618377,0.9996578544036147,0.9996579311200607
14.05,Time plan 900,900,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9345507800442633,0.9345478747577455,0.9345536853307811
14.05,Time plan 930,930,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9345507800442633,0.9345478747577455,0.9345536853307811
14.05,Time plan 960,960,480,127.39791666666666,126.40253102192736,128.39330231140596,39,39,39,804.7682498252885,804.7566213920653,804.7798782585118,38.99166666666667,38.9835256142816,38.99980771905174,38.99166666666667,38.9835256142816,38.99980771905174,88.40625,87.41156303280441,89.40093696719559,93.6865123216663,91.88966865228866,95.48335599104394,0.008333333333333333,0.00019228094826414036,0.016474385718402526,0.9997863247863247,0.9995775798533741,0.9999950697192752,0.9916666666666667,0.9835256142815975,0.9998077190517359,0.3331871345029243,0.3330443090224845,0.3333299599833641,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.3334064327485384,0.3333350200083185,0.33347784548875825,0.9345507800442633,0.9345478747577455,0.9345536853307811
14.1,Greedy event,0,480,127.39791666666666,126.40253102192736,128.39330231140596,0,0,0,0,0,0,33,33,33,33,33,33,94.39791666666666,93.40253102192736,95.39330231140596,102.23715729394902,101.11216545976036,103.36214912813769,0,0,0,0,0,0,0,0,0,0.41508838383838703,0.4129965512215055,0.41718021645526854,0.4242424242424278,0.4242424242424275,0.42424242424242814,0.1606691919191919,0.1585773593023104,0.1627610245360734,0.9996734928041794,0.9996734349393143,0.9996735506690445
14.1,Time plan 900,900,480,127.39791666666666,126.40253102192736,128.39330231140596,41,41,41,846.344803584247,846.3289956199633,846.3606115485306,40.983333333333334,40.971868623429245,40.994798043237424,40.983333333333334,40.971868623429245,40.994798043237424,86.41458333333334,85.42086508336531,87.40830158330137,96.26494149178953,94.38556568655473,98.14431729702433,0.016666666666666666,0.005201956762579422,0.02813137657075391,0.9995934959349595,0.9993138688641281,0.9998731230057909,0.9833333333333333,0.9718686234292461,0.9947980432374205,0.34124110772357874,0.3410607684149702,0.3414214470321873,0.3172052845528437,0.31711440575482347,0.3172961633508639,0.3415536077235787,0.3414396487005291,0.34166756674662824,0.9982526122725062,0.9982520246192992,0.9982531999257132
