setting,factor,level,demand,policy,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_mean_wait_mean,delta_mean_wait_ci_low,delta_mean_wait_ci_high,delta_peak_lae_db_mean,delta_peak_lae_db_ci_low,delta_peak_lae_db_ci_high,delta_peak_budget_utilization_mean,delta_peak_budget_utilization_ci_low,delta_peak_budget_utilization_ci_high,delta_population_weighted_equivalent_mean,delta_population_weighted_equivalent_ci_low,delta_population_weighted_equivalent_ci_high
altitude_60,altitude,60 m,45,P2,30,-0.05198418093552212,-0.053859806303284005,-0.05010855556776024,79.2,76.11682420781473,82.28317579218528,206.10988968724092,186.44367721495226,225.7761021595296,-0.0539480914639005,-0.05394880395661967,-0.05394737897118133,-0.011811604666584544,-0.01181176065351861,-0.011811448679650479,31.61270005707842,31.220273011920963,32.005127102235875
altitude_60,altitude,60 m,45,P3-U,30,-0.16807289079405033,-0.17073700690711957,-0.16540877468098109,255.86666666666667,251.72032891868878,260.01300441464457,698.486521948505,668.8245577698851,728.1484861271249,-0.12353437786914347,-0.25968375474571587,0.01261499900742892,-0.0006350049676563385,-0.0006601994888681693,-0.0006098104464445077,-0.10189050048639577,-0.6703349845941449,0.4665539836213533
altitude_60,altitude,60 m,45,P3-D,30,0.023194205332977426,0.02297537716071739,0.023413033505237463,-35.3,-35.51326277568824,-35.086737224311754,876.0277133388119,856.3400878228792,895.7153388547445,0.06716474161349832,-0.00835927227049188,0.14268875549748852,0.000032788858173874816,0.000016281239373206216,0.000049296476974543416,39.16586426370576,39.12961420148959,39.202114325921926
altitude_60,altitude,60 m,80,P0,30,0,0,0,0,0,0,0,0,0,1.2896130147044673,1.2896129711494209,1.2896130582595138,0.795239054848559,0.7952390532877064,0.7952390564094115,278.8594266307094,278.7575319929163,278.96132126850245
altitude_60,altitude,60 m,80,P1,30,0,0,0,0,0,0,0,0,0,1.289520624700585,1.2895097451985456,1.2895315042026245,0.690359818574139,0.6831064838984685,0.6976131532498094,46.961620333349934,46.93559527855172,46.987645388148145
altitude_60,altitude,60 m,80,P2,30,-0.03480744369279882,-0.035095228692268055,-0.03451965869332958,93.13333333333334,92.69523196120522,93.57143470546146,184.8167419104967,181.54940054187765,188.08408327911573,-0.0539471659839298,-0.05394791231455084,-0.05394641965330876,-0.011811401821415974,-0.011811564930536176,-0.011811238712295773,29.995575654758955,29.937168385079676,30.053982924438234
altitude_60,altitude,60 m,80,P3-U,30,-0.09749498476080616,-0.09815634346961903,-0.09683362605199329,260.8666666666667,260.57348133305203,261.1598520002813,468.3313004497135,461.9795500350781,474.68305086434896,-0.4628529006839917,-0.5158342084433037,-0.40987159292467973,-0.0006108952825185902,-0.0006369466272847475,-0.0005848439377524329,-0.7872842034194074,-0.8274814436973659,-0.747086963141449
altitude_60,altitude,60 m,80,P3-D,30,0.013143576653260164,0.013012806196716407,0.01327434710980392,-35.166666666666664,-35.39845002436133,-34.934883308972,992.6437294442162,988.9288548927404,996.358603995692,-0.0537584848609967,-0.05391268227666872,-0.05360428744532468,0.000011182640138381512,-0.000002226716201396736,0.000024591996478159762,39.14469901985055,39.105781980180794,39.183616059520304
altitude_120,altitude,120 m,45,P0,30,0,0,0,0,0,0,0,0,0,-1.8410774566954278,-1.8410775123012288,-1.8410774010896267,-0.7947303354654641,-0.7947307099707862,-0.794729960960142,-270.69047818513,-271.93262194901166,-269.4483344212484
altitude_120,altitude,120 m,45,P1,30,0,0,0,0,0,0,0,0,0,-1.8408474674217226,-1.840874843548806,-1.840820091294639,-0.6996873190831081,-0.706334603816064,-0.6930400343501522,-38.93659988136335,-39.086751361506245,-38.786448401220454
altitude_120,altitude,120 m,45,P2,30,0.001048766960066083,0.0007767414840048676,0.0013207924361272987,-1.6,-2.0160442063161024,-1.183955793683898,-6.79631066936358,-8.450463128745955,-5.142158209981203,0.17308513365768807,0.17308450957763777,0.17308575773773838,0.038901844760412425,0.038901705955725424,0.03890198356509943,-35.45045585429338,-35.63015386318123,-35.270757845405534
altitude_120,altitude,120 m,45,P3-U,30,-0.0708455179301608,-0.0744763500675234,-0.06721468579279821,107.9,102.31236986883003,113.48763013116998,220.8699561866221,186.42303101633584,255.31688135690834,-0.18449795581600342,-0.2901051297463121,-0.07889078188569473,0.00008325732726351953,0.000058705563129684594,0.00010780909139735446,-53.79764476890865,-54.467455095766525,-53.12783444205077
altitude_120,altitude,120 m,45,P3-D,30,0.0771398455054162,0.07654896967942833,0.07773072133140406,-117.4,-117.57830465984976,-117.22169534015025,659.4424211847484,642.270604945103,676.6142374243938,0.13220328097568199,0.09675795648107174,0.16764860547029223,-0.00003772633041001875,-0.00005397109814756419,-0.000021481562672473318,-21.872224166250145,-21.896668372624546,-21.847779959875744
altitude_120,altitude,120 m,80,P0,30,0,0,0,0,0,0,0,0,0,-1.8410773321546496,-1.8410774213945837,-1.8410772429147155,-0.7947311742483877,-0.7947317752798737,-0.7947305732169017,-275.8837207475492,-275.9845280248605,-275.78291347023793
altitude_120,altitude,120 m,80,P1,30,0,0,0,0,0,0,0,0,0,-1.8408148288401605,-1.8408460496922545,-1.8407836079880664,-0.6898942307869949,-0.6971461759530378,-0.6826422856209519,-39.45491745031095,-39.47678236542168,-39.433052535200225
altitude_120,altitude,120 m,80,P2,30,0.0006727156322916243,0.0005396026547717735,0.000805828609811475,-1.8,-2.156609319699516,-1.443390680300484,-9.482690802850145,-11.293076482969683,-7.672305122730608,0.17308586564569925,0.173085465700817,0.1730862655905815,0.0389020077279793,0.03890191871853299,0.038902096737425604,-36.191270630808305,-36.23906326346209,-36.143477998154516
altitude_120,altitude,120 m,80,P3-U,30,-0.041061761389992936,-0.04137081805823741,-0.04075270472174846,109.86666666666666,109.57348133305199,110.15985200028133,149.08968125051743,146.0449828651569,152.13437963587796,-0.23581853189482208,-0.28879982203657983,-0.18283724175306434,0.00011820061780883535,0.0000919358502790448,0.0001444653853386259,-54.204903795564874,-54.245109703505626,-54.16469788762412
altitude_120,altitude,120 m,80,P3-D,30,0.04385184745696702,0.04354623453034258,0.04415746038359146,-117.33333333333333,-117.50490707227003,-117.16175959439663,850.7352180261635,846.8371031150964,854.6333329372305,0.1732758839281729,0.17312159626096277,0.17343017159538301,-0.00004915562046060214,-0.00006216196869257294,-0.000036149272228631336,-21.88130994951587,-21.904849215759487,-21.857770683272253
