setting,policy,target,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,queue_north_mean,queue_north_ci_low,queue_north_ci_high,queue_central_mean,queue_central_ci_low,queue_central_ci_high,queue_south_mean,queue_south_ci_low,queue_south_ci_high,trip_north_mean,trip_north_ci_low,trip_north_ci_high,trip_central_mean,trip_central_ci_low,trip_central_ci_high,trip_south_mean,trip_south_ci_low,trip_south_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high
p2_b13,P2,13,0,11,30,36,36,36,622.3333333333334,609.2069891518455,635.4596775148212,121.73333333333333,116.71123195208615,126.75543471458052,375,368.3576362052648,381.6423637947352,125.6,121.129919602667,130.070080397333,12,12,12,12,12,12,12,12,12,13,13,13,12.120504256473758,12.120499845068318,12.120508667879198,13,13,13
p2_b13,P2,13,0,12,30,36,36,36,713.9333333333333,701.0996864740492,726.7669801926173,141.16666666666666,135.76488608893476,146.56844724439856,428.96666666666664,422.45896499187216,435.4743683414611,143.8,139.2314323681381,148.36856763186194,12,12,12,12,12,12,12,12,12,13,13,13,12.12050507189887,12.120501602337932,12.12050854145981,13,13,13
p2_b13,P2,13,0,13,30,36,36,36,801.9333333333333,788.2365468410732,815.6301198255934,158.96666666666667,152.67703221402218,165.25630111931116,481.4,474.7992480818427,488.0007519181573,161.56666666666666,156.75676894669087,166.37656438664246,12,12,12,12,12,12,12,12,12,13,13,13,12.120507070274849,12.120502242315332,12.120511898234366,13,13,13
p2_b13,P2,13,0,14,30,36,36,36,893.8666666666667,880.3945550918792,907.3387782414542,177.66666666666666,171.49477984226846,183.83855349106486,537.2333333333333,530.1635271298516,544.3031395368151,178.96666666666667,173.6710521780298,184.26228115530353,12,12,12,12,12,12,12,12,12,13,13,13,12.120503669351029,12.120499122259897,12.120508216442161,13,13,13
p2_b13,P2,13,0,15,30,35.233333333333334,33.730666666666664,36.736000000000004,984.4,971.2856818302486,997.5143181697514,196.93333333333334,191.15412464285308,202.7125420238136,590.4333333333333,583.0938567800205,597.7728098866461,197.03333333333333,192.15706097397876,201.9096056926879,11.6,10.815999999999999,12.384,12.033333333333333,11.968,12.098666666666666,11.6,10.815999999999999,12.384,13,13,13,12.149822532458845,12.092362262035163,12.207282802882528,13,13,13
p2_b13,P2,13,0,16,30,36,36,36,1081.7333333333333,1066.820939853579,1096.6457268130878,217.23333333333332,211.55295980398245,222.9137068626842,646.6666666666666,638.1905071951269,655.1428261382064,217.83333333333334,212.16509941889294,223.50156724777375,12,12,12,12,12,12,12,12,12,13,13,13,12.120505609097972,12.12050130880742,12.120509909388524,13,13,13
p2_b13,P2,13,0,17,30,36,36,36,1174.7,1159.342621613812,1190.057378386188,234.16666666666666,228.77142957317213,239.5619037601612,705.1,695.3690233021422,714.8309766978579,235.43333333333334,229.35345865727066,241.513208009396,12,12,12,12,12,12,12,12,12,13,13,13,12.120506970452036,12.120502366332843,12.120511574571228,13,13,13
p2_b13,P2,13,0,18,30,36,36,36,1265.1,1249.8745295858114,1280.3254704141884,253,247.19177911189172,258.8082208881083,759.5,749.8967356603595,769.1032643396405,252.6,245.80477013828352,259.3952298617165,12,12,12,12,12,12,12,12,12,13,13,13,12.120502038185794,12.120499011096467,12.120505065275122,13,13,13
p2_b13,P2,13,0,19,30,36,36,36,1352.9333333333334,1336.5636520303365,1369.3030146363303,271.53333333333336,265.37548515466165,277.6911815120051,812,801.5493422964494,822.4506577035506,269.4,262.21931617894705,276.5806838210529,12,12,12,12,12,12,12,12,12,13,13,13,12.120503277474084,12.120499896475378,12.12050665847279,13,13,13
p2_b13,P2,13,0,20,30,36,36,36,1446.0666666666666,1429.0294894212886,1463.1038439120446,290.03333333333336,283.24988614176726,296.81678052489946,867.2,856.4140008333494,877.9859991666507,288.8333333333333,281.550386832651,296.11627983401564,12,12,12,12,12,12,12,12,12,13,13,13,12.120507194448855,12.120503570264678,12.120510818633033,13,13,13
p2_b13,P2,13,0,21,30,36,36,36,1534.5333333333333,1516.7930567494682,1552.2736099171984,308.46666666666664,301.7754668235147,315.1578665098186,918.7333333333333,907.4622575559252,930.0044091107414,307.3333333333333,299.684723072168,314.9819435944986,12,12,12,12,12,12,12,12,12,13,13,13,12.120504716489355,12.12050093789222,12.12050849508649,13,13,13
p2_b13,P2,13,0,22,30,36,36,36,1626.2333333333333,1609.3780974066074,1643.0885692600593,324.9,317.92788625860214,331.8721137413978,974.8,963.7175848268996,985.8824151731003,326.53333333333336,318.8556816968405,334.2109849698262,12,12,12,12,12,12,12,12,12,13,13,13,12.120508721102285,12.12050488943712,12.12051255276745,13,13,13
p2_b13,P2,13,0,23,30,36,36,36,1719.3333333333333,1701.84938845289,1736.8172782137765,344.96666666666664,337.96224363492,351.97108969841327,1029,1017.8978399947754,1040.1021600052247,345.3666666666667,337.7735933601887,352.9597399731446,12,12,12,12,12,12,12,12,12,13,13,13,12.120502833237335,12.120498544298345,12.120507122176326,13,13,13
p2_b13,P2,13,0,24,30,36,36,36,1813.3333333333333,1795.8337371387584,1830.8329295279082,364.26666666666665,357.30559212064657,371.22774121268674,1084.5666666666666,1073.3341479172525,1095.7991854160807,364.5,356.2801584040768,372.7198415959232,12,12,12,12,12,12,12,12,12,13,13,13,12.120507264614401,12.120502510079316,12.120512019149487,13,13,13
p2_b13,P2,13,0,25,30,36,36,36,1908.5666666666666,1891.0002429278068,1926.1330904055264,384.6,378.143992308683,391.05600769131706,1141.1333333333334,1129.667739307053,1152.598927359614,382.8333333333333,374.65910051638997,391.00756615027666,12,12,12,12,12,12,12,12,12,13,13,13,12.120508652806125,12.120504830934157,12.120512474678092,13,13,13
p2_b13,P2,13,0,26,30,36,36,36,2001.0333333333333,1982.9548461131983,2019.1118205534683,403.5,396.85913210214346,410.14086789785654,1198.8666666666666,1186.6956653314471,1211.037668001886,398.6666666666667,390.44704890374226,406.8862844295911,12,12,12,12,12,12,12,12,12,13,13,13,12.120505567891264,12.120501078833009,12.12051005694952,13,13,13
p2_b13,P2,13,0,27,30,36,36,36,2093.766666666667,2075.538295228932,2111.995038104402,421.6333333333333,414.4613355556841,428.80533111098254,1253.5,1240.5854713196925,1266.4145286803075,418.6333333333333,410.1993976172613,427.06726904940535,12,12,12,12,12,12,12,12,12,13,13,13,12.120505148622792,12.120501187707905,12.120509109537679,13,13,13
p2_b13,P2,13,0,28,30,36,36,36,2186.7,2168.2029145856004,2205.197085414399,439.6333333333333,432.2861599815921,446.98050668507454,1309,1296.216662569498,1321.783337430502,438.06666666666666,428.95889649741343,447.1744368359199,12,12,12,12,12,12,12,12,12,13,13,13,12.120505037502317,12.120501313080604,12.12050876192403,13,13,13
p2_b13,P2,13,0,29,30,36,36,36,2276.8333333333335,2258.4387200205397,2295.2279466461273,456.9,448.73264848848515,465.0673515115148,1364.8,1352.0590815538842,1377.5409184461157,455.1333333333333,445.8423024867819,464.4243641798848,12,12,12,12,12,12,12,12,12,13,13,13,12.120506380893127,12.120501833331076,12.120510928455179,13,13,13
p2_b13,P2,13,0,30,30,36,36,36,2362.866666666667,2345.2500285818915,2380.483304751442,474.3333333333333,465.781970125031,482.8846965416356,1416.8,1403.7437908513484,1429.8562091486515,471.73333333333335,462.87627215998964,480.59039450667706,12,12,12,12,12,12,12,12,12,13,13,13,12.120506374636829,12.120502545863186,12.120510203410472,13,13,13
p2_b13,P2,13,0,31,30,36,36,36,2454.9,2436.7046838564643,2473.095316143536,492.93333333333334,484.36824580590604,501.49842086076063,1471.2,1457.7788971931618,1484.6211028068383,490.76666666666665,481.84515394851866,499.68817938481465,12,12,12,12,12,12,12,12,12,13,13,13,12.12050713614776,12.120503524869513,12.120510747426007,13,13,13
p2_b13,P2,13,0,32,30,36,36,36,2546.5,2528.63644215587,2564.36355784413,510.8333333333333,502.1437967355897,519.5228699310769,1526.0666666666666,1513.3037484065894,1538.8295849267438,509.6,501.28994856510656,517.9100514348935,12,12,12,12,12,12,12,12,12,13,13,13,12.120506714613553,12.120502781467831,12.120510647759275,13,13,13
p2_b13,P2,13,0,33,30,36,36,36,2638.266666666667,2620.7283557679493,2655.8049775653844,528.6333333333333,520.3606230138158,536.9060436528508,1581.0333333333333,1568.0547751032448,1594.0118915634218,528.6,520.2243190347182,536.9756809652819,12,12,12,12,12,12,12,12,12,13,13,13,12.120503914086717,12.120500341971225,12.120507486202209,13,13,13
p2_b13,P2,13,0,34,30,36,36,36,2729.0666666666666,2711.512501382175,2746.6208319511584,544.5666666666667,536.2539145886175,552.879418744716,1638.1,1624.535573997341,1651.6644260026587,546.4,538.0375093409326,554.7624906590673,12,12,12,12,12,12,12,12,12,13,13,13,12.120507402981833,12.12050338124686,12.120511424716806,13,13,13
p2_b13,P2,13,0,35,30,36,36,36,2821.5333333333333,2802.568403887005,2840.4982627796617,563.2333333333333,554.5262323214781,571.9404343451886,1693.8666666666666,1679.27763148524,1708.4557018480932,564.4333333333333,555.9226791999674,572.9439874666991,12,12,12,12,12,12,12,12,12,13,13,13,12.120504435443744,12.12050049455102,12.120508376336467,13,13,13
p2_b13,P2,13,0,36,30,36,36,36,2914.366666666667,2894.635429330016,2934.0979040033176,583.2333333333333,574.1626060445271,592.3040606221396,1748.4,1733.489185829795,1763.3108141702053,582.7333333333333,574.1137719538037,591.352894712863,12,12,12,12,12,12,12,12,12,13,13,13,12.120508016891925,12.120503717300092,12.120512316483758,13,13,13
p2_b13,P2,13,0,37,30,36,36,36,3005.9333333333334,2986.0933099802387,3025.773356686428,600.3666666666667,591.1148083291586,609.6185250041748,1804.8666666666666,1789.6332567138927,1820.1000766194404,600.7,592.3652504412612,609.0347495587389,12,12,12,12,12,12,12,12,12,13,13,13,12.120507193354058,12.120503222367736,12.12051116434038,13,13,13
p2_b13,P2,13,0,38,30,36,36,36,3096.266666666667,3075.8858440436893,3116.6474892896445,617.3333333333334,608.33511264928,626.3315540173868,1860.1666666666667,1844.4004263380527,1875.9329069952807,618.7666666666667,610.1282994979828,627.4050338353505,12,12,12,12,12,12,12,12,12,13,13,13,12.120508909343041,12.120505044554518,12.120512774131564,13,13,13
p2_b13,P2,13,0,39,30,36,36,36,3188.1,3166.826098242212,3209.3739017577877,636.8,627.1546865599752,646.4453134400247,1915.7666666666667,1899.1765374109825,1932.3567959223508,635.5333333333333,627.142307424616,643.9243592420506,12,12,12,12,12,12,12,12,12,13,13,13,12.120504549081748,12.120501835228707,12.120507262934789,13,13,13
