setting,policy,target,delay,damping,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high
p2_b20,P2,20,0,0,13,30,45.93333333333333,45.84254504438612,46.02412162228054,674.4666666666667,660.7857506882805,688.1475826450529,20,20,20,19.13522588031584,19.134771375291123,19.135680385340557,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,14,30,45.96666666666667,45.90133333333333,46.032000000000004,756.4333333333333,742.9750111638778,769.8916555027888,20,20,20,19.1353958810326,19.135068368978025,19.135723393087176,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,15,30,46,46,46,836.2,823.0642177345946,849.3357822654054,20,20,20,19.13556399047887,19.135560443831572,19.13556753712617,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,16,30,45.96666666666667,45.90133333333333,46.032000000000004,923.5666666666667,908.7080391180554,938.4252942152781,20,20,20,19.135397577755743,19.135070163900558,19.135724991610928,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,17,30,45.93333333333333,45.84254504438612,46.02412162228054,1006.6,991.3125199027395,1021.8874800972605,20,20,20,19.13522644872659,19.134770877649757,19.135682019803426,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,18,30,45.96666666666667,45.90133333333333,46.032000000000004,1087.0333333333333,1071.9514795513237,1102.115187115343,20,20,20,19.135397146698974,19.135071291474933,19.135723001923015,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,19,30,45.93333333333333,45.84254504438612,46.02412162228054,1164.9333333333334,1148.6567086519335,1181.2099580147333,20,20,20,19.135224154728142,19.134769948127563,19.135678361328722,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,20,30,45.96666666666667,45.90133333333333,46.032000000000004,1248.1,1231.281305382293,1264.9186946177067,20,20,20,19.135396903977245,19.13506979410537,19.13572401384912,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,21,30,45.96666666666667,45.90133333333333,46.032000000000004,1326.6,1309.1341810225879,1344.065818977412,20,20,20,19.135398439297283,19.135072153233217,19.13572472536135,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,22,30,45.9,45.79081114115189,46.009188858848105,1408.4,1391.8226735541598,1424.9773264458404,20,20,20,19.13505948671398,19.134513614011038,19.135605359416925,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,23,30,46,46,46,1491.5,1474.3528163231983,1508.6471836768017,20,20,20,19.13556375330207,19.135559852966495,19.135567653637644,20,20,20,0,0,0,0,0,0
p2_b20,P2,20,0,0,24,30,46,46,46,1575.5,1558.2153401610815,1592.7846598389185,20,20,20,19.13556053562794,19.13555713351547,19.135563937740407,20,20,20,0,0,0,0,0,0
p3u_t10_d0,P3-U,10,0,1,1,30,44.36666666666667,43.931092337569346,44.80224099576399,34.1,31.59887503012294,36.60112496987706,20,20,20,19.12736237186346,19.12517509540871,19.129549648318207,14.523582576881923,14.522270211009074,14.524894942754772,0,0,0,0,0,0
p3u_t10_d0,P3-U,10,0,1,2,30,45.36666666666667,45.14661038685733,45.586722946476,67.6,63.27042245165576,71.92957754834423,14.523582576881923,14.522270211009074,14.524894942754772,14.157498742263735,14.156396169347564,14.158601315179906,12.029083331523685,12.027788327876133,12.030378335171237,0,0,0,0,0,0
p3u_t10_d0,P3-U,10,0,1,3,30,17.366666666666667,17.077271048602416,17.65606228473092,131.13333333333333,125.17223839932493,137.09442826734173,12.029083331523685,12.027788327876133,12.030378335171237,12.02695166779726,12.025498429381603,12.028404906212916,10.812912330845329,10.8123947776521,10.813429884038557,50.06666666666667,47.75531939903879,52.37801393429455,0,0,0
p3u_t10_d0,P3-U,10,0,1,4,30,40.86666666666667,38.44012626323179,43.293207070101545,169,162.53483377995016,175.46516622004984,10.812912330845329,10.8123947776521,10.813429884038557,10.154981588178382,10.142796770952188,10.167166405404576,10.7199233779383,10.712609090067673,10.727237665808929,7.4,2.8632451316351473,11.936754868364854,0,0,0
