setting,policy,target,delay,damping,initial_budget,runs,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,blocked_dispatch_attempts_mean,blocked_dispatch_attempts_ci_low,blocked_dispatch_attempts_ci_high,head_of_line_blocked_attempts_mean,head_of_line_blocked_attempts_ci_low,head_of_line_blocked_attempts_ci_high,head_of_line_share_mean,head_of_line_share_ci_low,head_of_line_share_ci_high,warm_budget_mean_mean,warm_budget_mean_ci_low,warm_budget_mean_ci_high,warm_budget_sd_mean,warm_budget_sd_ci_low,warm_budget_sd_ci_high,warm_dispatch_mean_mean,warm_dispatch_mean_ci_low,warm_dispatch_mean_ci_high,warm_dispatch_sd_mean,warm_dispatch_sd_ci_low,warm_dispatch_sd_ci_high,budget_direction_changes_mean,budget_direction_changes_ci_low,budget_direction_changes_ci_high,periods_within_point_one_mean,periods_within_point_one_ci_low,periods_within_point_one_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,final_central_use_mean,final_central_use_ci_low,final_central_use_ci_high
p3d_025_t14_d1,P3-D0.25,14,1,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1069.9,1069.2465540326975,1070.5534459673027,0.3998549046032345,0.3972511009914391,0.4024587082150298,1606.6666666666667,1589.3013190784889,1624.0320142548446,34.9,33.312548807882166,36.48745119211783,0,0,0,0,0,0,14.894242607432504,14.893849730389558,14.894635484475451,0.36506406751954956,0.364951440086699,0.3651766949524001,45.19375,45.1630336133628,45.224466386637204,0.7404032327538885,0.7025251528232404,0.7782813126845367,0,0,0,0,0,0,14.569084960225995,14.568563287368635,14.569606633083355,14.157326349437598,14.156237955873001,14.158414743002195
p3d_05_t14_d1,P3-D0.5,14,1,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,751.6666666666666,751.49509292773,751.8382404056033,0.28091948439228265,0.27913088279138754,0.28270808599317776,1924.9,1907.667380159282,1942.1326198407182,919.4333333333333,910.8185118505586,928.048154816108,1,-0.3747329103184531,2.3747329103184533,0.0010466256104583436,-0.0003898226834610323,0.0024830739043777196,14.086495545359002,14.086229826012513,14.08676126470549,0.11471417318130832,0.11437821999902988,0.11505012636358676,25.770833333333332,25.732618436336345,25.80904823033032,14.033631886130163,14.002799946486206,14.06446382577412,0,0,0,11,11,11,14.000969039904307,14.000708022908215,14.001230056900399,14.00001153006322,14.000010008440295,14.000013051686146
p3d_075_t14_d1,P3-D0.75,14,1,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1025.8333333333333,1021.2544516414905,1030.412215025176,0.38338039833014687,0.3804428158138055,0.3863179808464882,1650.7333333333333,1633.115893182848,1668.3507734838188,169.4,156.97377269781705,181.82622730218296,0,0,0,0,0,0,14.340196890527144,14.333770073313197,14.346623707741092,0.24672154673346242,0.24502263953774622,0.2484204539291786,41.49791666666667,41.2065164234066,41.78931690992674,6.873064910594243,6.294590893563754,7.451538927624732,4,4,4,4.366666666666666,4.191274997685803,4.542058335647529,14.551234315357615,14.540527422976348,14.561941207738881,14.154319277480147,14.152991663484332,14.15564689147596
p3u_t14_d3,P3-U,14,3,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1039.3333333333333,1032.9283222682925,1045.738344398374,0.38842103720850246,0.3850866666809292,0.3917554077360757,1637.2333333333333,1619.2960353722247,1655.170631294442,125.66666666666667,108.0075692988298,143.32576403450355,0,0,0,0,0,0,13.564728525645098,13.564348036624288,13.565109014665907,7.90400542170189,7.903751757791115,7.904259085612665,42.35625,41.95581546321886,42.756684536781144,5.7256571340596,5.029853131267626,6.4214611368515735,3,3,3,0,0,0,11.380494574664397,11.379950343157207,11.381038806171587,11.168890852425344,11.167520970356412,11.170260734494276
p3d_025_t14_d3,P3-D0.25,14,3,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,964.9333333333333,960.5577656674792,969.3089009991874,0.3606506286347753,0.35742885054071516,0.3638724067288355,1711.6333333333334,1692.4069321857417,1730.8597344809252,355.8,341.0231077692229,370.5768922307771,0.2,-0.19199999999999984,0.5919999999999999,0.00045558086560364467,-0.000437357630979499,0.0013485193621867882,14.411024410262607,14.409086157440694,14.412962663084521,0.6435695967252427,0.6425313481246342,0.6446078453258512,37.49791666666667,37.24153082565125,37.754302507682084,10.93816436428285,10.771583445916221,11.104745282649478,1,1,1,8.166666666666666,8.03102571623889,8.302307617094442,14.21529018188945,14.198325971799072,14.23225439197983,14.15162951847365,14.144736276304533,14.158522760642766
p3d_05_t14_d3,P3-D0.5,14,3,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1059.7666666666667,1059.489746439416,1060.0435868939173,0.396065596043179,0.3935373734369917,0.39859381864936627,1616.8,1599.5724928428233,1634.0275071571766,72.36666666666666,69.5016163979723,75.23171693536102,0,0,0,0,0,0,14.045147283041887,14.044674466617765,14.045620099466008,1.5255452009521775,1.5253191790575775,1.5257712228467775,43.49583333333333,43.45230125153618,43.53936541513048,2.5727936685843984,2.545912205533775,2.599675131635022,2,2,2,0,0,0,14.305794747017181,14.305337271892277,14.306252222142085,14.140087678792396,14.139539105721635,14.140636251863157
p3d_075_t14_d3,P3-D0.75,14,3,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1014.3,1013.4482439505257,1015.1517560494742,0.37907194279954737,0.37666104058806354,0.3814828450110312,1662.2666666666667,1645.103220137304,1679.4301131960292,184,176.99651213331168,191.00348786668832,0,0,0,0,0,0,13.715841979443404,13.715298637115225,13.716385321771583,4.361424822782234,4.361122439671195,4.361727205893272,41.83125,41.764244022611805,41.89825597738819,6.262548542765865,6.193318831917219,6.331778253614511,2,2,2,0,0,0,8.406605779466101,8.406076444093479,8.407135114838724,8.18360229802278,8.182298921225424,8.184905674820136
p3u_t18_d0,P3-U,18,0,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,698,698,698,0.26086350935647445,0.2591873430313598,0.2625396756815891,1978.5666666666666,1961.2863673202457,1995.8469660130875,1101.0333333333333,1089.9984005493109,1112.0682661173557,0,0,0,0,0,0,18.017976101294735,18.01779560262972,18.01815659995975,0.03514677532938721,0.03479172953232792,0.0355018211264465,20.791666666666668,20.765181924438714,20.81815140889462,7.089265585928389,7.038757431708081,7.139773740148696,0,0,0,15,15,15,18.0045525186698,18.00454346072289,18.004561576616712,18.000014745931193,18.00001321496406,18.000016276898325
p3d_025_t18_d0,P3-D0.25,18,0,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1099.4666666666667,1098.9542382060959,1099.9790951272375,0.4109007485807793,0.4083147250401747,0.4134867721213839,1577.1,1559.9676039775147,1594.232396022485,0,0,0,0,0,0,0,0,0,18.780184606674997,18.779886099409527,18.780483113940466,0.09993762794347648,0.09983790770344755,0.1000373481835054,45.8625,45.83470187718237,45.890298122817626,0.34112104162975326,0.29332183049179733,0.3889202527677092,0,0,0,0,0,0,18.62278875578676,18.622411746988842,18.62316576458468,18.13974800900842,18.139068546706874,18.14042747130997
p3d_05_t18_d0,P3-D0.5,18,0,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1098.8333333333333,1098.4564564720345,1099.210210194632,0.41066554337248234,0.4080528058739641,0.4132782808710006,1577.7333333333333,1560.5226143068091,1594.9440523598576,0.7666666666666667,0.38282434591104036,1.1505089874222931,0,0,0,0,0,0,18.456157133115262,18.455564537800417,18.456749728430108,0.19988717980931411,0.19967659558509412,0.2000977640335341,45.8375,45.81505767289301,45.859942327106985,0.3794449294999801,0.34221028356403516,0.41667957543592504,0,0,0,0,0,0,18.14140895955849,18.140666708454795,18.142151210662185,18.137739898221323,18.136833801942156,18.13864599450049
p3d_075_t18_d0,P3-D0.75,18,0,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,919,919,919,0.34345782965415467,0.3412509573722344,0.34566470193607496,1757.5666666666666,1740.2863673202457,1774.8469660130875,501.26666666666665,493.70830305776,508.8250302755733,0,0,0,0,0,0,18.206646721306917,18.20600860972352,18.207284832890316,0.21262300689830196,0.21232786351667976,0.21291815027992417,34.604166666666664,34.57768192443871,34.63065140889462,12.5400433799617,12.51269680310613,12.567389956817271,0,0,0,7.533333333333333,7.351756755438918,7.714909911227749,18.004152142092163,18.00414647384379,18.004157810340537,18.000016236211472,18.000014394717574,18.00001807770537
p3u_t18_d1,P3-U,18,1,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1083.9,1083.5440103320627,1084.2559896679375,0.40508498137048593,0.4024979472876202,0.4076720154533517,1592.6666666666667,1575.4325137436717,1609.9008195896618,40.9,38.79582453421664,43.004175465783355,0,0,0,0,0,0,18.466718055581328,18.465760766975144,18.467675344187512,0.33016100569535883,0.3298981856887172,0.33042382570200046,44.920833333333334,44.895960688370785,44.945705978295884,3.817000149423144,3.7473500089560385,3.886650289890249,4,4,4,4,4,4,18.801010078438484,18.80002834797832,18.80199180889865,18.139918346724794,18.139298456886724,18.140538236562865
p3d_025_t18_d1,P3-D0.25,18,1,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1099.6333333333334,1099.1317918627217,1100.1348748039452,0.41096224918949775,0.408392457549871,0.4135320408291245,1576.9333333333334,1559.84569145266,1594.0209752140067,0,0,0,0,0,0,0,0,0,18.651856369779612,18.651562888896873,18.65214985066235,0.09993478364688907,0.09983308436406914,0.100036482929709,45.86875,45.8416112150341,45.8958887849659,0.33454725511308797,0.2869447084355417,0.38214980179063424,0,0,0,0,0,0,18.49450440502932,18.494141227921205,18.494867582137438,18.139915463022874,18.13929605922487,18.14053486682088
p3d_05_t18_d1,P3-D0.5,18,1,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,966.6333333333333,966.4579416643525,966.8087250023142,0.3612598687279907,0.3589365956580704,0.363583141797911,1709.9333333333334,1692.6511814948446,1727.2154851718221,366.1,360.26194037903593,371.9380596209641,0,0,0,0,0,0,18.21534592214135,18.214871363471257,18.21582048081144,0.178025798865341,0.17782771245253465,0.17822388527814736,37.56875,37.54291360325913,37.59458639674087,11.693149545419738,11.676633233102082,11.709665857737393,0,0,0,5.966666666666667,5.9013333333333335,6.032,18.000712477514938,18.00044902699525,18.000975928034627,18.000016314647276,18.000014617077813,18.00001801221674
p3d_075_t18_d1,P3-D0.75,18,1,0.75,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1067.7666666666667,1067.36046787797,1068.1728654553633,0.39905804116949817,0.3964564877457112,0.40165959459328515,1608.8,1591.4224343966466,1626.1775656033533,87.73333333333333,83.41260375112093,92.05406291554574,0,0,0,0,0,0,18.329487048166836,18.329085056555275,18.329889039778397,0.24617254514022266,0.24590617721558997,0.24643891306485535,43.895833333333336,43.859468654773735,43.932198011892936,5.933341627322293,5.864807184938255,6.001876069706332,2,2,2,3.966666666666667,3.9013333333333335,4.032,18.242109638578615,18.241271456996863,18.242947820160367,18.140247689469017,18.139792721479097,18.140702657458938
p3u_t18_d3,P3-U,18,3,1,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1038,1037.6241007716355,1038.3758992283645,0.3879310724853771,0.3854473647257615,0.3904147802449927,1638.5666666666666,1621.3162902194442,1655.817043113889,166.6,161.4703182057417,171.72968179425828,0,0,0,0,0,0,17.885289976230304,17.884628582478307,17.8859513699823,2.0557986400507016,2.0555173123676593,2.056079967733744,42.045833333333334,42.013699021691814,42.077967644974855,9.255080672764006,9.213700504024505,9.296460841503507,3,3,3,1,1,1,15.433577896639843,15.4329191405398,15.434236652739886,15.151967210237085,15.150483646431953,15.153450774042218
p3d_025_t18_d3,P3-D0.25,18,3,0.25,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1099.9,1099.3573005742894,1100.4426994257108,0.41106292593528415,0.408469993977278,0.4136558578932903,1576.6666666666667,1559.5211354481164,1593.812197885217,0,0,0,0,0,0,0,0,0,18.48848686201925,18.488183741931458,18.488789982107043,0.2691947250231607,0.26910183148438943,0.269287618561932,45.885416666666664,45.857197725003616,45.91363560832971,0.3035060737636843,0.24828083818381783,0.3587313093435508,0,0,0,0,0,0,18.237685164426743,18.23729357209268,18.238076756760808,18.139914359376682,18.13929475245548,18.140533966297884
p3d_05_t18_d3,P3-D0.5,18,3,0.5,20,30,2676.5666666666666,2659.2863673202455,2693.8469660130877,1088.4,1087.953248867139,1088.846751132861,0.40676603371419356,0.4041813538935008,0.40935071353488633,1588.1666666666667,1570.971052996259,1605.3622803370745,31.366666666666667,29.104461876332696,33.628871457000635,0,0,0,0,0,0,18.421358673972325,18.420899558547152,18.421817789397497,0.3735430837119237,0.37333118463375514,0.3737549827900922,45.170833333333334,45.13764284919182,45.20402381747485,2.700182725290371,2.670189385525043,2.730176065055699,2,2,2,3,3,3,18.58219568200655,18.581667956206314,18.582723407806785,18.140085707474807,18.139539343280834,18.14063207166878
