budget,method,method_id,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,mean_wait_minutes,late_mean_wait_minutes,late_p95_wait_mean,final_oldest_queue_age,north_completion_rate,central_completion_rate,south_completion_rate,north_route_share,central_route_share,south_route_share,runtime_ms
14,Greedy FIFO,greedy,501,120,15018,4680,0.3116260487415102,0.3491234613950019,0.3018381167365366,10338,18647.24167659286,34650.888779774505,34770.49052841463,38720,0.3148273527420447,0.3101301011898143,0.31292738521654184,0.3333333333333333,0.3333333333333333,0.3333333333333333,170.48287499999998
14,Greedy FIFO,greedy,502,120,14935,4655,0.31168396384332103,0.3606936416184971,0.2914267434420985,10280,18386.77545867179,34259.81147161333,34477.181488624985,38477,0.3121555915721232,0.3090929526806789,0.3189976295292922,0.3323308270676692,0.33533834586466166,0.3323308270676692,216.01712499999996
14,Greedy FIFO,greedy,503,120,15156,4680,0.3087885985748218,0.3492537313432836,0.2943396226415094,10476,18621.30613133322,34563.95776349394,34685.8131882424,38686,0.30703484549638393,0.30788664323374343,0.3132890365448505,0.3333333333333333,0.3333333333333333,0.3333333333333333,125.52983400000005
14,Greedy FIFO,greedy,504,120,14935,4680,0.3133578841647138,0.3502994011976048,0.3036988968202466,10255,18601.939053073485,34549.061979360435,34665.76731700857,38456,0.3139691067830759,0.31422552389400155,0.31007488087134105,0.3333333333333333,0.3333333333333333,0.3333333333333333,109.44804199999999
14,Greedy FIFO,greedy,505,120,14696,4680,0.3184540010887316,0.34373852368710983,0.3088089739359947,10016,18674.742191978658,34645.720823845346,34763.77439908774,38706,0.32173319686113955,0.3173883473135343,0.3183826027862725,0.3333333333333333,0.3333333333333333,0.3333333333333333,130.41874999999993
14,Greedy FIFO,greedy,506,120,14887,4680,0.31436824074696046,0.3439911797133407,0.30478671442526867,10207,18697.84845843507,34677.42519827528,34797.48876357309,38684,0.3193052772211089,0.3135092108255629,0.31203614069054536,0.3333333333333333,0.3333333333333333,0.3333333333333333,92.36929099999998
14,Greedy FIFO,greedy,507,120,14932,4680,0.31342084114653096,0.3388848660391021,0.301255230125523,10252,18781.029915661078,34638.37931260244,34757.0879195725,38578,0.2975801177240026,0.3160202360876897,0.32192010741859683,0.3333333333333333,0.3333333333333333,0.3333333333333333,107.34745800000019
14,Greedy FIFO,greedy,508,120,15103,4680,0.3098722108190426,0.3336898395721925,0.3009646302250804,10423,19006.422855805493,34908.33703870135,35028.50670438782,38949,0.3100033014196104,0.3087501386270378,0.31305201177625125,0.3333333333333333,0.3333333333333333,0.3333333333333333,123.33445800000004
14,Greedy FIFO,greedy,509,120,15068,4680,0.31059198301035307,0.35240963855421686,0.2932330827067669,10388,18574.750874240548,34537.99570264105,34663.07089247947,38739,0.29241516966067865,0.3152665857158627,0.3146853146853147,0.3333333333333333,0.3333333333333333,0.3333333333333333,84.91216700000018
14,Greedy FIFO,greedy,510,120,15073,4680,0.31048895375837593,0.3424807903402854,0.3075911929017417,10393,18707.10886543103,34592.67324220219,34708.404379312604,38576,0.31083361457981773,0.31118688813111867,0.3080490228552501,0.3333333333333333,0.3333333333333333,0.3333333333333333,96.32037500000001
