demand,target,policy,policy_id,period,runs,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,oldest_queue_age_mean,oldest_queue_age_ci_low,oldest_queue_age_ci_high,north_dispatched_mean,north_dispatched_ci_low,north_dispatched_ci_high,central_dispatched_mean,central_dispatched_ci_low,central_dispatched_ci_high,south_dispatched_mean,south_dispatched_ci_low,south_dispatched_ci_high,central_budget_mean,central_budget_ci_low,central_budget_ci_high,central_use_mean,central_use_ci_low,central_use_ci_high,next_central_budget_mean,next_central_budget_ci_low,next_central_budget_ci_high,population_weighted_exposure_mean,population_weighted_exposure_ci_low,population_weighted_exposure_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
45,14,P2 fixed,p2,1,30,37.53333333333333,36.72638937035512,38.34027729631154,6.6,5.166768653721939,8.033231346278061,20.145507111106333,16.132271733204743,24.158742489007924,50.76795438474389,43.47285939795099,58.063049371536785,63.13333333333333,49.4433830993127,76.82328356735397,7.3,6.378519631806777,8.221480368193223,22.7,21.431688206868003,23.968311793131996,7.533333333333333,6.699477901483151,8.367188765183515,14,14,14,12.69201260855039,12.446367187858545,12.937658029242236,14,14,14,12.655186355596328,12.40145808892161,12.908914622271046,0.9110751355235261,0.8951357542462307,0.9270145168008216
45,14,P2 fixed,p2,2,30,38.666666666666664,38.253462385738,39.07987094759533,12.5,10.037304159138262,14.962695840861738,56.65945356321702,42.751965718320484,70.56694140811356,91.67773355471758,76.9715083370321,106.38395877240305,123.56666666666666,99.86736739513364,147.26596593819968,7.9,7.134523422432405,8.665476577567595,23.7,22.84307548046289,24.55692451953711,7.066666666666666,6.2641122772993665,7.869221056033966,14,14,14,13.02936269525667,12.884024416231837,13.174700974281505,14,14,14,13.009754918049707,12.868245485786522,13.151264350312891,0.932925276981898,0.9261721496159925,0.9396784043478035
45,14,P2 fixed,p2,3,30,39,39,39,17.833333333333332,14.870393455390058,20.796273211276606,119.8376152238946,95.6565872957368,144.0186431520524,158.88302497840505,134.58998111166022,183.17606884514987,190.86666666666667,161.84126792879022,219.89206540454313,8.3,7.121936675979471,9.47806332402053,23.066666666666666,21.823733638136986,24.309599695196347,7.633333333333334,6.878701393918711,8.387965272747955,14,14,14,13.130536448884065,13.130533442140578,13.130539455627552,14,14,14,13.115218045176306,13.115208572068452,13.11522751828416,0.9378954606345759,0.9378952458671839,0.9378956754019678
45,14,P2 fixed,p2,4,30,38.766666666666666,38.309333333333335,39.224,24.866666666666667,20.955989630496838,28.777343702836497,177.4534446050827,146.69798292687366,208.20890628329173,219.7746765572256,189.01525144986118,250.53410166459003,255.06666666666666,216.33423046046562,293.7991028728677,7.633333333333334,6.80080281429268,8.465863852373987,23.766666666666666,22.579145832407,24.95418750092633,7.366666666666666,6.612034727252044,8.12129860608129,14,14,14,13.063030543583944,12.930724212154031,13.195336875013856,14,14,14,13.043383089014297,12.902602425958143,13.18416375207045,0.9330736102559957,0.9236231580110019,0.9425240625009894
45,14,P2 fixed,p2,5,30,38.8,38.407999999999994,39.192,31.133333333333333,26.479223698782224,35.787442967884445,246.59522961261385,209.16668020992793,284.02377901529974,285.3427544103078,247.09681572896338,323.58869309165226,323.03333333333336,281.18145666539465,364.88521000127207,7.3,6.417687156376498,8.182312843623501,22.833333333333332,21.74110779419204,23.925558872474625,8.666666666666666,7.454670940664819,9.878662392668513,14,14,14,13.063197132696308,12.931218729869382,13.195175535523234,14,14,14,13.047950136155851,12.916126569096885,13.179773703214817,0.9330855094783076,0.9236584807049557,0.9425125382516595
45,14,P2 fixed,p2,6,30,38.833333333333336,38.50666666666667,39.160000000000004,36.63333333333333,31.594072127371124,41.672594539295545,311.2153227289884,266.1852968243145,356.2453486336623,352.04939665070134,308.71788691642064,395.38090638498204,383.56666666666666,332.63451603888655,434.4988172944468,7.433333333333334,6.485708724921631,8.380957941745036,23.633333333333333,22.5435361642547,24.723130502411966,7.766666666666667,6.891724706905797,8.641608626427537,14,14,14,13.096533260394455,13.029887284021914,13.163179236766997,14,14,14,13.072448297875459,12.988619722508373,13.156276873242545,0.9354666614567468,0.9307062345729938,0.9402270883404998
45,14,P2 fixed,p2,7,30,38.93333333333333,38.80266666666666,39.064,42.36666666666667,36.35192417051447,48.38140916281886,370.26538784936434,318.45178374702164,422.07899195170705,410.29258975458265,358.40573355918343,462.17944594998187,440.8666666666667,384.3077486086564,497.4255847246769,7.7,6.595446165905078,8.804553834094923,23.8,22.686487756133154,24.913512243866847,7.433333333333334,6.418216904550569,8.448449762116098,14,14,14,13.130200478717768,13.129544483344501,13.130856474091035,14,14,14,13.10607440567332,13.088160167458824,13.123988643887817,0.9378714627655548,0.9378246059531786,0.9379183195779309
45,14,P2 fixed,p2,8,30,39,39,39,51.3,44.57889578037697,58.02110421962303,430.64954382438486,373.93202638052776,487.36706126824197,469.7918522686552,412.163556021083,527.4201485162274,502.6666666666667,443.46176751140524,561.8715658219281,8.3,7.5532106422641085,9.046789357735893,24.066666666666666,23.14622512677807,24.987108206555263,6.633333333333334,5.908548508612511,7.358118158054157,14,14,14,13.13053558452291,13.130531312859437,13.130539856186383,14,14,14,13.115215824201018,13.115202109296302,13.115229539105734,0.9378953988944936,0.937895093775674,0.9378957040133131
45,14,P2 fixed,p2,9,30,39,39,39,87.6,80.83407493560478,94.36592506439521,511.4797757370026,452.39729936403626,570.562252109969,554.5907165325566,498.19702127914013,610.9844117859731,611.8333333333334,553.7146381368564,669.9520285298104,7.433333333333334,6.53351126492799,8.333155401738678,23.6,22.60724166916199,24.592758330838013,7.966666666666667,7.118373758387016,8.814959574946318,14,14,14,13.130531349210209,13.130527842182596,13.130534856237821,14,14,14,13.11520211298014,13.115190858178705,13.115213367781577,0.9378950963721582,0.9378948458701859,0.9378953468741305
45,14,P2 fixed,p2,10,30,39,39,39,123.1,115.80477621844342,130.39522378155655,651.2920307764415,602.8835688494001,699.7004927034828,713.154767337986,668.6336660190188,757.6758686569531,788.4333333333333,744.028602812494,832.8380638541726,7.4,6.686781360600968,8.113218639399033,23.233333333333334,22.171445734747376,24.295220931919292,8.366666666666667,7.396933472724669,9.336399860608665,14,14,14,13.13053344840952,13.130528927845104,13.130537968973938,14,14,14,13.115208585919957,13.115194013271124,13.11522315856879,0.9378952463149657,0.9378949234175072,0.9378955692124241
