budget,method,method_id,period,cases,dispatched_mean,dispatched_ci_low,dispatched_ci_high,queue_end_mean,queue_end_ci_low,queue_end_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,p95_wait_minutes_mean,p95_wait_minutes_ci_low,p95_wait_minutes_ci_high,oldest_queue_age_mean,oldest_queue_age_ci_low,oldest_queue_age_ci_high,north_dispatched_mean,north_dispatched_ci_low,north_dispatched_ci_high,central_dispatched_mean,central_dispatched_ci_low,central_dispatched_ci_high,south_dispatched_mean,south_dispatched_ci_low,south_dispatched_ci_high,north_trips_mean,north_trips_ci_low,north_trips_ci_high,central_trips_mean,central_trips_ci_low,central_trips_ci_high,south_trips_mean,south_trips_ci_low,south_trips_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
14,Greedy FIFO,greedy,1,30,39,39,39,39.46666666666667,36.774434685178896,42.15889864815444,77.03689481371836,69.99688931692371,84.07690031051301,159.8693155263343,147.81818881644196,171.92044223622665,233.86666666666667,219.7317393568557,248.00159397647764,7.866666666666666,6.851332767300027,8.882000566033305,23.766666666666666,22.54252681539193,24.9908065179414,7.366666666666666,6.513184316172314,8.220149017161019,13,13,13,13,13,13,13,13,13,0.9378965379794901,0.9378962532697857,0.9378968226891946
14,Greedy FIFO,greedy,2,30,39,39,39,79.33333333333333,74.94526997045577,83.72139669621089,311.523645016338,297.59845021224413,325.44883982043183,392.22013260094474,376.46584375236296,407.9744214495265,479.3333333333333,463.33901625828076,495.32765040838586,6.966666666666667,5.930881248276259,8.002452085057074,24.166666666666668,22.89858699502145,25.434746338311886,7.866666666666666,7.038123597865631,8.695209735467701,13,13,13,13,13,13,13,13,13,0.937896255525107,0.9378959927541226,0.9378965182960914
14,Greedy FIFO,greedy,3,30,39,39,39,121.23333333333333,115.23461632618915,127.23205034047751,557.4603593142785,539.1822080429612,575.7385105855959,640.0512009706584,618.5242294191479,661.578172522169,726,704.3594566112373,747.6405433887627,8.266666666666667,7.3178778521460774,9.215455481187258,23.433333333333334,22.272132712757347,24.59453395390932,7.3,6.313712126144226,8.286287873855773,13,13,13,13,13,13,13,13,13,0.9378964172601696,0.9378961030911045,0.9378967314292347
14,Greedy FIFO,greedy,4,30,39,39,39,160.96666666666667,155.2950061274568,166.63832720587655,800.6343291808232,775.8834405072663,825.3852178543801,881.3264311391123,855.6157389294307,907.0371233487939,968.3,942.3900106495983,994.2099893504017,7.466666666666667,6.591472404706168,8.341860928627165,24.1,22.862704692419424,25.33729530758058,7.433333333333334,6.548355389152902,8.318311277513766,13,13,13,13,13,13,13,13,13,0.9378962231816012,0.9378958495463097,0.9378965968168926
14,Greedy FIFO,greedy,5,30,39,39,39,205.93333333333334,199.64197909552462,212.22468757114206,1042.0366162813036,1012.6547123850729,1071.4185201775344,1129.1939145369836,1097.5513063169158,1160.8365227570514,1218.1333333333334,1185.1547718968266,1251.1118947698403,8.566666666666666,7.73839011041275,9.394943222920583,22.633333333333333,21.515533386873095,23.75113327979357,7.8,6.830646334542633,8.769353665457366,13,13,13,13,13,13,13,13,13,0.9378963080741581,0.9378959793669478,0.9378966367813685
14,Greedy FIFO,greedy,6,30,39,39,39,244.3,236.69259570602733,251.9074042939727,1292.2002118531739,1258.2028129746252,1326.1976107317225,1376.8185739173448,1340.8501637352617,1412.7869840994279,1464.4333333333334,1428.4524323621608,1500.414234304506,7.533333333333333,6.623507060496977,8.443159606169688,22.766666666666666,21.965488951174798,23.567844382158533,8.7,7.807734073967508,9.592265926032491,13,13,13,13,13,13,13,13,13,0.9378962774349774,0.9378959728122658,0.937896582057689
14,Greedy FIFO,greedy,7,30,39,39,39,287.3,278.81560488003277,295.78439511996726,1538.0214235205854,1503.0901287552942,1572.9527182858765,1614.876492539039,1580.6788984738453,1649.0740866042327,1702.9,1667.934002337246,1737.8659976627541,7.166666666666667,6.3469642629546,7.986369070378734,23.8,22.77313439753917,24.82686560246083,8.033333333333333,7.054535603376534,9.012131063290132,13,13,13,13,13,13,13,13,13,0.9378964205928388,0.9378961153434746,0.9378967258422031
14,Greedy FIFO,greedy,8,30,39,39,39,326.2,316.8669247851784,335.53307521482157,1780.5258528612042,1746.0425801713466,1815.0091255510617,1864.8739943243809,1832.418244857302,1897.3297437914598,1948.9333333333334,1916.8364400868427,1981.030226579824,8.3,7.345565654672765,9.254434345327237,23,22.050900971701456,23.949099028298544,7.7,6.812696659314976,8.587303340685025,13,13,13,13,13,13,13,13,13,0.9378963272560114,0.9378960517797155,0.9378966027323072
14,Greedy FIFO,greedy,9,30,39,39,39,416.53333333333336,404.90863323601945,428.15803343064727,2028.8452582533455,1996.140708556257,2061.5498079504337,2111.7164187180983,2078.280522688865,2145.1523147473317,2201.1,2167.1926250805072,2235.0073749194926,7.4,6.476365798635069,8.323634201364932,23.3,22.207504975155338,24.392495024844663,8.3,7.364254381752731,9.23574561824727,13,13,13,13,13,13,13,13,13,0.9378961015366198,0.9378957925857934,0.9378964104874463
14,Greedy FIFO,greedy,10,30,39,39,39,504.06666666666666,492.4757462512454,515.6575870820878,2282.5915497922856,2246.677573517712,2318.505526066859,2369.7113481967776,2332.6541454799626,2406.7685509135927,2456.1,2418.905518078278,2493.294481921722,6.9,6.0166868013572135,7.783313198642787,23.833333333333332,22.856341782488876,24.81032488417779,8.266666666666667,7.609290668424311,8.924042664909024,13,13,13,13,13,13,13,13,13,0.937896196260829,0.9378959079785327,0.9378964845431252
14,Greedy FIFO,greedy,11,30,39,39,39,589.3333333333334,576.2069891518455,602.4596775148212,2534.4586623581467,2495.3482738918765,2573.569050824417,2611.0558790818877,2569.7028822337275,2652.408875930048,2694.133333333333,2651.72187369205,2736.5447929746165,7.4,6.65055459585564,8.14944540414436,24.766666666666666,23.814393773618015,25.718939559715317,6.833333333333333,6.04102297191411,7.625643694752556,13,13,13,13,13,13,13,13,13,0.9378962823123508,0.9378960440716345,0.937896520553067
14,Greedy FIFO,greedy,12,30,39,39,39,677.9333333333333,665.0996864740492,690.7669801926173,2766.3387239036624,2724.2391494494764,2808.4382983578485,2844.9633250180077,2800.8921967063116,2889.034453329704,2931.5,2886.0919070760674,2976.9080929239326,7.633333333333334,6.811479005366103,8.455187661300563,22.7,21.4886723916658,23.911327608334197,8.666666666666666,7.644398135315157,9.688935198018175,13,13,13,13,13,13,13,13,13,0.9378962720666475,0.93789592117423,0.937896622959065
14,Greedy FIFO,greedy,13,30,39,39,39,762.9333333333333,749.2365468410732,776.6301198255934,3013.375817433058,2968.132080539045,3058.6195543270705,3104.1534535856053,3058.2817453582697,3150.025161812941,3187.4666666666667,3141.3664217232094,3233.566911610124,7.866666666666666,6.9864415474293216,8.746891785904012,22.866666666666667,22.006741551865886,23.726591781467448,8.266666666666667,7.410859333459665,9.12247399987367,13,13,13,13,13,13,13,13,13,0.9378963165193518,0.9378959822898687,0.9378966507488349
14,Greedy FIFO,greedy,14,30,39,39,39,851.8666666666667,838.3945550918792,865.3387782414542,3267.924239337661,3219.499684270632,3316.3487944046906,3352.8589847872313,3303.042094207784,3402.6758753666786,3439,3388.7603790555336,3489.2396209444664,7.8,7.075723047827506,8.524276952172492,23.533333333333335,22.522357733808178,24.544308932858492,7.666666666666667,6.7934928635659,8.539840469767434,13,13,13,13,13,13,13,13,13,0.9378961658738609,0.9378958851095984,0.9378964466381234
14,Greedy FIFO,greedy,15,30,39,39,39,938.6333333333333,925.4686457032196,951.798020963447,3513.59423129481,3462.1874485995654,3565.0010139900546,3593.4217777252024,3540.828087253608,3646.015468196797,3680.233333333333,3627.372551680049,3733.094114986617,7.966666666666667,7.053207693850068,8.880125639483266,23.366666666666667,22.154124572757382,24.579208760575952,7.666666666666667,6.602079613453201,8.731253719880133,13,13,13,13,13,13,13,13,13,0.937896244215699,0.9378959169039482,0.9378965715274497
14,Greedy FIFO,greedy,16,30,39,39,39,1032.9666666666667,1018.0825632300766,1047.8507701032568,3761.179603136875,3708.494072048916,3813.8651342248336,3848.674933168621,3797.10635059678,3900.243515740462,3933.9333333333334,3883.290333914859,3984.576332751808,7.433333333333334,6.453633762524943,8.413032904141724,23.366666666666667,22.339442784441104,24.39389054889223,8.2,7.346948897247036,9.053051102752962,13,13,13,13,13,13,13,13,13,0.937896290545818,0.937895945255332,0.937896635836304
14,Greedy FIFO,greedy,17,30,39,39,39,1122.9333333333334,1107.6036446190565,1138.2630220476103,4028.134324448944,3983.674682277888,4072.5939666199997,4135.227891720186,4095.278019486897,4175.177763953475,4229.466666666666,4189.623926940284,4269.309406393048,7.233333333333333,6.2536337625249425,8.213032904141725,23.566666666666666,22.382870034033786,24.750463299299547,8.2,7.451733896986145,8.948266103013854,13,13,13,13,13,13,13,13,13,0.9378964445702738,0.9378961263343684,0.9378967628061792
14,Greedy FIFO,greedy,18,30,39,39,39,1210.3333333333333,1195.233674531271,1225.4329921353956,4347.687621947102,4309.483742056936,4385.891501837269,4464.715099125641,4426.894152523612,4502.53604572767,4556.466666666666,4518.504830211285,4594.428503122048,6.733333333333333,5.687155513528621,7.779511153138046,24.333333333333332,23.13599938560802,25.530667281058644,7.933333333333334,7.062184675138689,8.804481991527977,13,13,13,13,13,13,13,13,13,0.9378963745005404,0.9378959926270194,0.9378967563740614
