budget,method,cases,requests_mean,requests_ci_low,requests_ci_high,served_mean,served_ci_low,served_ci_high,service_rate_mean,service_rate_ci_low,service_rate_ci_high,gap_to_upper_bound_mean,gap_to_upper_bound_ci_low,gap_to_upper_bound_ci_high,blocked_requests_examined_mean,blocked_requests_examined_ci_low,blocked_requests_examined_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,peak_budget_use_mean,peak_budget_use_ci_low,peak_budget_use_ci_high
13,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,35.952083333333334,35.85816666666667,36.046,0.28439257837217685,0.2820146288546694,0.2867705278896843,0.04791666666666667,-0.046000000000000006,0.14183333333333334,91.44583333333334,90.44502723306978,92.4466394335969,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9324875656818813,0.9322113143732412,0.9327638169905214
13,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,35.952083333333334,35.85816666666667,36.046,0.28439257837217685,0.2820146288546694,0.2867705278896843,0.04791666666666667,-0.046000000000000006,0.14183333333333334,1.0,1.0,1.0,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9324875656818813,0.9322113143732412,0.9327638169905214
13,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,36.0,36.0,36.0,0.28476116811576657,0.2825058655110844,0.2870164707204487,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9323417938373403,0.9323417902346436,0.932341797440037
13.5,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,88.39791666666666,87.40253102192736,89.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9726331763387843,0.9726330962429571,0.9726332564346115
13.5,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9726331763387843,0.9726330962429571,0.9726332564346115
13.5,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9726281736731832,0.9726281681264716,0.9726281792198949
13.75,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,88.39791666666666,87.40253102192736,89.39330231140596,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9549489367689883,0.9549488581294489,0.9549490154085277
13.75,FIFO-stop,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,1.0,1.0,1.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9549489367689883,0.9549488581294489,0.9549490154085277
13.75,MILP-upper-bound,480,127.39791666666666,126.40253102192736,128.39330231140596,39.0,39.0,39.0,0.30849126545874717,0.3060480209703415,0.3109345099471528,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.33333333333333326,0.9549441936979224,0.954944188604717,0.9549441987911278
14,FIFO-skip,480,127.39791666666666,126.40253102192736,128.39330231140596,38.947916666666664,38.84583333333333,39.05,0.3080906244331061,0.3055136807373938,0.31066756812881835,0.052083333333333336,-0.04999999999999998,0.15416666666666665,88.45,87.448307720006,89.451692279994,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.33472222222222214,0.3319999999999999,0.3374444444444444,0.3326388888888888,0.3312777777777777,0.3339999999999999,0.9380256592352698,0.9377720690191301,0.9382792494514095
