setting,policy,target,delay,damping,initial_budget,seed,requests,dispatched,completion_rate,final_queue,blocked_dispatch_attempts,head_of_line_blocked_attempts,head_of_line_share,warm_budget_mean,warm_budget_sd,warm_dispatch_mean,warm_dispatch_sd,budget_direction_changes,periods_within_point_one,final_central_budget,final_central_use
p2_b18,P2,18,0,0,18,510,2733,1094,0.40029271862422244,1639,0,0,0,18,0,45.625,0.5,0,24,18,17.140602585138204
p2_b18,P2,18,0,0,18,511,2668,1091,0.4089205397301349,1577,0,0,0,18,0,45.5625,0.51234753829798,0,24,18,17.140590918143214
p2_b18,P2,18,0,0,18,512,2595,1094,0.4215799614643545,1501,0,0,0,18,0,45.625,0.6191391873668903,0,24,18,17.14059721170141
p2_b18,P2,18,0,0,18,513,2669,1095,0.41026601723491946,1574,0,0,0,18,0,45.8125,0.4031128874149275,0,24,18,17.14562404924886
p2_b18,P2,18,0,0,18,514,2721,1095,0.402425578831312,1626,0,0,0,18,0,45.625,0.5,0,24,18,17.145617212455992
p2_b18,P2,18,0,0,18,515,2654,1093,0.4118311981914092,1561,0,0,0,18,0,45.5,0.5163977794943222,0,24,18,17.145596980588472
p2_b18,P2,18,0,0,18,516,2650,1095,0.41320754716981134,1555,0,0,0,18,0,45.5625,0.7274384280931732,0,24,18,17.145604138186503
p2_b18,P2,18,0,0,18,517,2628,1096,0.4170471841704718,1532,0,0,0,18,0,45.8125,0.4031128874149275,0,24,18,17.145601785112376
p2_b18,P2,18,0,0,18,518,2684,1095,0.407973174366617,1589,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.145614440201058
p2_b18,P2,18,0,0,18,519,2586,1092,0.4222737819025522,1494,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.145593070507758
p2_b18,P2,18,0,0,18,520,2641,1096,0.4149943203332071,1545,0,0,0,18,0,45.625,0.5,0,24,18,17.145598221515037
p2_b18,P2,18,0,0,18,521,2703,1097,0.4058453570107288,1606,0,0,0,18,0,45.75,0.4472135954999579,0,24,18,17.14559844394455
p2_b18,P2,18,0,0,18,522,2712,1095,0.40376106194690264,1617,0,0,0,18,0,45.6875,0.6020797289396148,0,24,18,17.14561956553012
p2_b18,P2,18,0,0,18,523,2661,1095,0.41149943630214203,1566,0,0,0,18,0,45.6875,0.6020797289396148,0,24,18,17.14559329293727
p2_b18,P2,18,0,0,18,524,2669,1095,0.41026601723491946,1574,0,0,0,18,0,45.625,0.5,0,24,18,17.145608844334753
p2_b18,P2,18,0,0,18,525,2621,1096,0.41816100724914157,1525,0,0,0,18,0,45.75,0.5773502691896257,0,24,18,17.145614414522843
p2_b18,P2,18,0,0,18,526,2671,1095,0.4099588169225009,1576,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.14060580225216
p2_b18,P2,18,0,0,18,527,2693,1093,0.4058670627552915,1600,0,0,0,18,0,45.625,0.5,0,24,18,17.14561666922132
p2_b18,P2,18,0,0,18,528,2647,1094,0.41329807329051754,1553,0,0,0,18,0,45.5625,0.6291528696058958,0,24,18,17.1406141703734
p2_b18,P2,18,0,0,18,529,2705,1096,0.40517560073937153,1609,0,0,0,18,0,45.8125,0.4031128874149275,0,24,18,17.140570215738453
p2_b18,P2,18,0,0,18,530,2691,1096,0.4072835377183203,1595,0,0,0,18,0,45.6875,0.47871355387816905,0,24,18,17.140582870827135
p2_b20,P2,20,0,0,20,501,2681,1100,0.4102946661693398,1581,0,0,0,20,0,45.9375,0.25,0,24,20,19.135579187134223
p2_b20,P2,20,0,0,20,502,2595,1101,0.42427745664739885,1494,0,0,0,20,0,45.9375,0.25,0,24,20,19.135562048326797
p2_b20,P2,20,0,0,20,503,2680,1100,0.41044776119402987,1580,0,0,0,20,0,45.9375,0.25,0,24,20,19.135566211240377
p2_b20,P2,20,0,0,20,504,2672,1101,0.4120508982035928,1571,0,0,0,20,0,45.9375,0.25,0,24,20,19.135551870366104
p2_b20,P2,20,0,0,20,505,2723,1101,0.4043334557473375,1622,0,0,0,20,0,46,0,0,24,20,19.135553432097833
p2_b20,P2,20,0,0,20,506,2721,1101,0.4046306504961411,1620,0,0,0,20,0,46,0,0,24,20,19.13554414385519
p2_b20,P2,20,0,0,20,507,2762,1101,0.39862418537291816,1661,0,0,0,20,0,46,0,0,24,20,19.135553333722182
p2_b20,P2,20,0,0,20,508,2805,1099,0.39180035650623884,1706,0,0,0,20,0,46,0,0,24,20,19.135561060233098
p2_b20,P2,20,0,0,20,509,2656,1102,0.41490963855421686,1554,0,0,0,20,0,45.9375,0.25,0,24,20,19.135574258556456
p2_b20,P2,20,0,0,20,510,2733,1102,0.40321990486644715,1631,0,0,0,20,0,45.9375,0.25,0,24,20,19.135551647936595
p2_b20,P2,20,0,0,20,511,2668,1100,0.4122938530734633,1568,0,0,0,20,0,45.875,0.3415650255319866,0,24,20,19.135556576514357
p2_b20,P2,20,0,0,20,512,2595,1102,0.42466281310211945,1493,0,0,0,20,0,46,0,0,24,20,19.135565988810864
p2_b20,P2,20,0,0,20,513,2669,1102,0.41288872236792806,1567,0,0,0,20,0,46,0,0,24,20,19.135558805534625
p2_b20,P2,20,0,0,20,514,2721,1103,0.4053656743844175,1618,0,0,0,20,0,46,0,0,24,20,19.135541790781062
p2_b20,P2,20,0,0,20,515,2654,1102,0.4152223059532781,1552,0,0,0,20,0,45.9375,0.25,0,24,20,19.13556484625995
p2_b20,P2,20,0,0,20,516,2650,1101,0.41547169811320755,1549,0,0,0,20,0,45.875,0.3415650255319866,0,24,20,19.13557737729477
p2_b20,P2,20,0,0,20,517,2628,1101,0.4189497716894977,1527,0,0,0,20,0,45.9375,0.25,0,24,20,19.135566976904563
p2_b20,P2,20,0,0,20,518,2684,1098,0.4090909090909091,1586,0,0,0,20,0,45.875,0.3415650255319866,0,24,20,19.135569774837716
p2_b20,P2,20,0,0,20,519,2586,1097,0.4242072699149265,1489,0,0,0,20,0,45.9375,0.25,0,24,20,19.13556576638135
p2_b20,P2,20,0,0,20,520,2641,1103,0.41764483150321846,1538,0,0,0,20,0,46,0,0,24,20,19.135565988810864
p2_b20,P2,20,0,0,20,521,2703,1102,0.40769515353311137,1601,0,0,0,20,0,46,0,0,24,20,19.135553778581208
p2_b20,P2,20,0,0,20,522,2712,1102,0.40634218289085544,1610,0,0,0,20,0,46,0,0,24,20,19.13556160346777
p2_b20,P2,20,0,0,20,523,2661,1102,0.4141300263059,1559,0,0,0,20,0,46,0,0,24,20,19.13555870715897
p2_b20,P2,20,0,0,20,524,2669,1102,0.41288872236792806,1567,0,0,0,20,0,46,0,0,24,20,19.13557168305282
p2_b20,P2,20,0,0,20,525,2621,1101,0.4200686760778329,1520,0,0,0,20,0,45.9375,0.25,0,24,20,19.13556707528021
p2_b20,P2,20,0,0,20,526,2671,1102,0.41257955821789594,1569,0,0,0,20,0,46,0,0,24,20,19.13554156835155
p2_b20,P2,20,0,0,20,527,2693,1099,0.40809506126995915,1594,0,0,0,20,0,45.8125,0.4031128874149275,0,24,20,19.13556128266261
p2_b20,P2,20,0,0,20,528,2647,1102,0.4163203626747261,1545,0,0,0,20,0,46,0,0,24,20,19.135556576514357
p2_b20,P2,20,0,0,20,529,2705,1101,0.4070240295748614,1604,0,0,0,20,0,45.9375,0.25,0,24,20,19.13555870715897
p2_b20,P2,20,0,0,20,530,2691,1102,0.40951319212188775,1589,0,0,0,20,0,46,0,0,24,20,19.135554001010718
p3u_t10_d0,P3-U,10,0,1,20,501,2681,586,0.2185751585229392,2095,1311,0,0,10.111836531805583,0.14810346467754396,18.8125,9.509425149117408,0,10,10.002786090645852,10.000011765370633
