budget,method,method_id,cases,periods,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,first24_completion_rate_mean,first24_completion_rate_ci_low,first24_completion_rate_ci_high,late24_service_ratio_mean,late24_service_ratio_ci_low,late24_service_ratio_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,late_mean_wait_minutes_mean,late_mean_wait_minutes_ci_low,late_mean_wait_minutes_ci_high,late_p95_wait_mean_mean,late_p95_wait_mean_ci_low,late_p95_wait_mean_ci_high,final_oldest_queue_age_mean,final_oldest_queue_age_ci_low,final_oldest_queue_age_ci_high,north_completion_rate_mean,north_completion_rate_ci_low,north_completion_rate_ci_high,central_completion_rate_mean,central_completion_rate_ci_low,central_completion_rate_ci_high,south_completion_rate_mean,south_completion_rate_ci_low,south_completion_rate_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,runtime_ms_mean,runtime_ms_ci_low,runtime_ms_ci_high
14,Greedy FIFO,greedy,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4677.5,4674.7702785287975,4680.2297214712025,0.3123533989367706,0.31147614492568154,0.3132306529478597,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.30402633577967575,0.3014733288657264,0.3065793426936251,10298.366666666667,10257.55362505108,10339.179708282254,18596.573430075852,18544.91183205656,18648.235028095143,34499.15330282818,34424.46042764775,34573.84617800861,34622.642776882254,34548.882555981305,34696.4029977832,38553.4,38470.00697645762,38636.793023542385,0.31092115140532706,0.3080999870139077,0.31374231579674644,0.3129803962905914,0.3117870657322442,0.3141737268489386,0.3119335392876658,0.3086625855441084,0.3152044930312232,0.3332330827067668,0.3331236201916309,0.33334254522190276,0.3335338345864661,0.33331490955619425,0.333752759616738,0.3332330827067668,0.3331236201916309,0.33334254522190276,107.3117194,96.6869071615171,117.9365316384829
14,Rolling 10 fair,rolling10_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18600.292118584624,18550.361631254375,18650.222605914874,34497.436388698865,34426.496079572426,34568.376697825304,34616.09949568148,34544.95550371598,34687.243487646985,38544.9,38463.253069989514,38626.54693001049,0.3110631265112682,0.3082477583974481,0.3138784946250883,0.3131512597223469,0.311967841376502,0.3143346780681918,0.31211256382654734,0.30888228987107685,0.3153428377820178,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,267.23797219999983,258.77340323818805,275.7025411618116
14,Rolling 3 fair,rolling3_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18600.292118584624,18550.361631254375,18650.222605914874,34497.436388698865,34426.496079572426,34568.376697825304,34616.09949568148,34544.95550371598,34687.243487646985,38544.9,38463.253069989514,38626.54693001049,0.3110631265112682,0.3082477583974481,0.3138784946250883,0.3131512597223469,0.311967841376502,0.3143346780681918,0.31211256382654734,0.30888228987107685,0.3153428377820178,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,205.7567166333333,187.6602829325978,223.8531503340688
14,Rolling 30 throughput,rolling30_throughput,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18598.984672078164,18549.05819935326,18648.911144803067,34496.466137340954,34425.55358264043,34567.37869204148,34673.81079182019,34603.085858371225,34744.53572526916,38615.73333333333,38533.83220334669,38697.63446331997,0.31287286669044906,0.3100464382374331,0.315699295143465,0.3119289615587621,0.3107536583158628,0.31310426480166137,0.31395646478206646,0.3107644250495851,0.3171485045145478,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,414.1628833666667,411.56541742838186,416.7603493049515
14.05,Greedy FIFO,greedy,30,120,14975.866666666667,14935.292753039002,15016.440580294331,2760,2760,2760,0.18430675008944888,0.18380617139262387,0.1848073287862739,0.20629893576615166,0.20497337156634754,0.20762449996595578,0.17945479728787334,0.1780221970795197,0.18088739749622698,12215.866666666667,12175.292753039002,12256.440580294331,22192.21280819208,22149.170423493437,22235.25519289072,40905.335513259866,40841.25478489687,40969.416241622865,40970.43979651371,40906.369368753454,41034.51022427397,45776.3,45712.95581091997,45839.644189080034,0.1832055906440635,0.1808745927011769,0.1855365885869501,0.18441418083369496,0.18355433512650768,0.18527402654088224,0.18510523872055212,0.18276355195832145,0.1874469254827828,0.31304347826086953,0.3113458096337872,0.31474114688795185,0.6086956521739135,0.6086956521739134,0.6086956521739136,0.07826086956521738,0.07656320093813505,0.07995853819229971,143.36343336666675,130.5545687874982,156.1722979458353
14.05,Rolling 10 fair,rolling10_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18600.292118584624,18550.361631254375,18650.222605914874,34497.436388698865,34426.496079572426,34568.376697825304,34616.09949568148,34544.95550371598,34687.243487646985,38544.9,38463.253069989514,38626.54693001049,0.3110631265112682,0.3082477583974481,0.3138784946250883,0.3131512597223469,0.311967841376502,0.3143346780681918,0.31211256382654734,0.30888228987107685,0.3153428377820178,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,264.8038277999995,258.9295801971599,270.6780754028391
14.05,Rolling 3 fair,rolling3_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18600.292118584624,18550.361631254375,18650.222605914874,34497.436388698865,34426.496079572426,34568.376697825304,34616.09949568148,34544.95550371598,34687.243487646985,38544.9,38463.253069989514,38626.54693001049,0.3110631265112682,0.3082477583974481,0.3138784946250883,0.3131512597223469,0.311967841376502,0.3143346780681918,0.31211256382654734,0.30888228987107685,0.3153428377820178,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,199.04134996666568,180.53804565954823,217.54465427378312
14.05,Rolling 30 throughput,rolling30_throughput,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4680,4680,4680,0.3125201414560219,0.311671334100536,0.31336894881150784,0.34981123890782245,0.34756354309076326,0.35205893472488164,0.304292917140307,0.3018637254826638,0.30672210879795014,10295.866666666667,10255.292753039002,10336.440580294331,18598.984672078164,18549.05819935326,18648.911144803067,34496.466137340954,34425.55358264043,34567.37869204148,34673.81079182019,34603.085858371225,34744.53572526916,38615.73333333333,38533.83220334669,38697.63446331997,0.31287286669044906,0.3100464382374331,0.315699295143465,0.3119289615587621,0.3107536583158628,0.31310426480166137,0.31395646478206646,0.3107644250495851,0.3171485045145478,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,395.28657776666637,391.08035932412133,399.4927962092114
14.1,Greedy FIFO,greedy,30,120,14975.866666666667,14935.292753039002,15016.440580294331,3960,3960,3960,0.2644401196935571,0.263721898085069,0.26515834130204513,0.29599412522969576,0.29409222876910723,0.2978960216902843,0.2574786221956444,0.25542315233148477,0.259534092059804,11015.866666666667,10975.292753039002,11056.440580294331,19940.235559403773,19892.795301679325,19987.67581712822,36909.651256964404,36843.29120700549,36976.01130692332,37008.02948579228,36941.46828016258,37074.590691421974,41246.5,41178.51562441165,41314.48437558835,0.2624781820660786,0.25975594928012335,0.26520041485203383,0.2649906615899645,0.26397521951821973,0.26600610366170924,0.26477942687515127,0.26195804294215996,0.2676008108081426,0.4165235690235691,0.41601698926904745,0.4170301487780907,0.424242424242424,0.42424242424242387,0.4242424242424241,0.1592340067340067,0.15872742697948505,0.15974058648852835,99.0717486000011,94.87572740980843,103.26776979019377
14.1,Rolling 10 fair,rolling10_fair,30,120,14975.866666666667,14935.292753039002,15016.440580294331,4919.966666666666,4919.901333333333,4920.031999999999,0.32854457673793613,0.3276528537700827,0.3294362997057896,0.3677373868804487,0.3653835277851336,0.3700912459757638,0.31989768212186115,0.3173439165330568,0.3224514477106655,10055.9,10015.33537964832,10096.464620351679,18154.943177394445,18104.49875373293,18205.38760105596,33696.85687223545,33623.18661593412,33770.52712853677,33819.12804645636,33745.311312182595,33892.944780730126,37644.333333333336,37565.05766915522,37723.60899751145,0.3275935529952457,0.32473720924751126,0.3304498967429801,0.3289945849026469,0.3278369924664727,0.3301521773388211,0.3281777978934404,0.3249047416143854,0.3314508541724955,0.3414657285422215,0.34146119328239444,0.3414702638020486,0.3170753193606341,0.31707110804793753,0.31707953067333067,0.3414589520971446,0.34145020552462096,0.34146769866966825,211.9645138666645,206.74835708940182,217.1806706439272
