demand,target,policy,policy_id,comparison,fixed_budget,pairs,delta_completion_rate_mean,delta_completion_rate_ci_low,delta_completion_rate_ci_high,delta_late24_service_ratio_mean,delta_late24_service_ratio_ci_low,delta_late24_service_ratio_ci_high,delta_final_queue_mean,delta_final_queue_ci_low,delta_final_queue_ci_high,delta_population_weighted_exposure_mean_mean,delta_population_weighted_exposure_mean_ci_low,delta_population_weighted_exposure_mean_ci_high,delta_late_mean_wait_minutes_mean,delta_late_mean_wait_minutes_ci_low,delta_late_mean_wait_minutes_ci_high
45,14,P3-D0.50,p3d_05,same_target,14,30,0.04522803340411444,0.045034272584911446,0.04542179422331743,0.03665631097215692,0.03631462313967275,0.036997998804641094,-382.5,-383.7773316295912,-381.2226683704088,1.0462228491433754,1.0428335270542914,1.0496121712324593,-2308.306330153103,-2332.285249792882,-2284.3274105133237
45,14,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.003145344653313568,0.0028174655149469916,0.0034732237916801447,-0.00484126815218795,-0.004951918504189908,-0.004730617800185992,-26.6,-29.36484039987512,-23.835159600124882,0.048684399969740375,0.04111411674703039,0.05625468319245036,-202.79065375814363,-220.31767838358385,-185.26362913270341
45,14,P3-U,p3u,same_target,14,30,0.04192921260094469,0.04173605489293192,0.04212237030895746,0.03704192388809803,0.03666427915739875,0.03741956861879731,-354.6,-355.8768129864232,-353.32318701357684,0.9670577000021884,0.9636725038019589,0.9704428962024179,-2115.240416121536,-2137.4980938891536,-2092.982738353918
45,14,P3-U,p3u,nearest_exposure,14.15,30,-0.00015347614985617987,-0.0004816421645319703,0.00017468986481961057,-0.00445565523624684,-0.004598736341600801,-0.0043125741308928794,1.3,-1.4689099228612588,4.068909922861259,-0.03048074917144632,-0.038242171198667824,-0.02271932714422482,-9.724739726576201,-27.650292539394655,8.20081308624225
45,14.05,P3-D0.50,p3d_05,same_target,14.05,30,0.04734863527614138,0.047156266650746355,0.047541003901536406,0.04034486859311307,0.039988167448888896,0.04070156973733725,-400.43333333333334,-401.61339401103817,-399.2532726556285,1.0980822000711528,1.0952860992425384,1.1008783008997671,-2406.1588153993766,-2431.4150888184126,-2380.9025419803406
45,14.05,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.0052659465253404964,0.004949994603681491,0.005581898446999502,-0.0011527105312318005,-0.001162901992495349,-0.001142519069968252,-44.53333333333333,-47.1925602425664,-41.87410642410026,0.10054375089751814,0.09346577999590759,0.1076217217991287,-300.6431390044162,-318.36932218192476,-282.9169558269076
45,14.05,P3-U,p3u,same_target,14.05,30,0.043990522717894574,0.04379229673492067,0.04418874870086848,0.039689390906932506,0.03934089706728719,0.04003788474657782,-372.03333333333336,-373.34724542939176,-370.71942123727496,1.0196817978963229,1.0163149785095544,1.0230486172830913,-2217.3045558495196,-2240.8323131488655,-2193.7767985501737
45,14.05,P3-U,p3u,nearest_exposure,14.15,30,0.0019078339670936862,0.0015767094370761224,0.00223895849711125,-0.001808188217412369,-0.0019631230167262495,-0.0016532534180984883,-16.133333333333333,-18.92540271516291,-13.341263951503755,0.022143348722688097,0.01453481963855224,0.029751877806823954,-111.78887945455924,-129.74462094771837,-93.8331379614001
45,14.1,P3-D0.50,p3d_05,same_target,14.1,30,0.021047458678644222,0.020766886475921405,0.02132803088136704,0.012755784925366854,0.012612906071551694,0.012898663779182013,-178,-180.30573657416133,-175.69426342583867,0.8706766766510975,0.8652538367343352,0.8760995165678598,-1103.6879907443438,-1119.7156307833902,-1087.6603507052973
45,14.1,P3-D0.50,p3d_05,nearest_exposure,14.15,30,0.007039670616282774,0.006702115186920008,0.007377226045645541,-0.001076741449414768,-0.0011819539471247418,-0.0009715289517047942,-59.53333333333333,-62.370895332588475,-56.69577133407819,0.1432446150796898,0.13517743290877113,0.15131179725060848,-401.8080672946892,-419.1193874048091,-384.49674718456924
