seed,period,budget,method,requests,served,service_rate,gap_to_upper_bound,blocked_requests_examined,north_route_share,central_route_share,south_route_share,peak_budget_use
501,9,13,FIFO-stop,125,36,0.288,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323457329380118
501,9,13,FIFO-skip,125,36,0.288,0,89,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323457329380118
501,9,13,MILP-upper-bound,125,36,0.288,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323417897099306
501,9,13.5,FIFO-stop,125,39,0.312,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9726329052230304
501,9,13.5,FIFO-skip,125,39,0.312,0,86,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9726329052230304
501,9,13.5,MILP-upper-bound,125,39,0.312,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9726281633393723
501,9,13.75,FIFO-stop,125,39,0.312,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549486705826116
501,9,13.75,FIFO-skip,125,39,0.312,0,86,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549486705826116
501,9,13.75,MILP-upper-bound,125,39,0.312,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549441860476838
501,9,14,FIFO-stop,125,39,0.312,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378960157507793
501,9,14,FIFO-skip,125,39,0.312,0,86,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378960157507793
501,9,14,MILP-upper-bound,125,39,0.312,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.937891443220109
501,9,14.05,FIFO-stop,125,23,0.184,16,1,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996573780481486
501,9,14.05,FIFO-skip,125,23,0.184,16,102,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996573780481486
501,9,14.05,MILP-upper-bound,125,39,0.312,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513541
501,9,14.1,FIFO-stop,125,33,0.264,8,1,0.3939393939393939,0.42424242424242425,0.18181818181818182,0.9996724225427782
501,9,14.1,FIFO-skip,125,33,0.264,8,92,0.3939393939393939,0.42424242424242425,0.18181818181818182,0.9996724225427782
501,9,14.1,MILP-upper-bound,125,41,0.328,0,0,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896122
501,9,14.15,FIFO-stop,125,42,0.336,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.999334168585445
501,9,14.15,FIFO-skip,125,42,0.336,0,83,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.999334168585445
501,9,14.15,MILP-upper-bound,125,42,0.336,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935652
501,9,14.2,FIFO-stop,125,42,0.336,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9958153863016935
501,9,14.2,FIFO-skip,125,42,0.336,0,83,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9958153863016935
501,9,14.2,MILP-upper-bound,125,42,0.336,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9958110664742218
501,9,14.25,FIFO-stop,125,42,0.336,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9923212972269507
501,9,14.25,FIFO-skip,125,42,0.336,0,83,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9923212972269507
501,9,14.25,MILP-upper-bound,125,42,0.336,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9923169925567683
501,9,14.5,FIFO-stop,125,42,0.336,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9752123093437274
501,9,14.5,FIFO-skip,125,42,0.336,0,83,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9752123093437274
501,9,14.5,MILP-upper-bound,125,42,0.336,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9752080788919965
501,9,15,FIFO-stop,125,42,0.336,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9427052323656031
501,9,15,FIFO-skip,125,42,0.336,0,83,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9427052323656031
501,9,15,MILP-upper-bound,125,42,0.336,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9427011429289299
501,9,16,FIFO-stop,125,45,0.36,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469132969035741
501,9,16,FIFO-skip,125,45,0.36,0,80,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469132969035741
501,9,16,MILP-upper-bound,125,45,0.36,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9469274119207581
501,9,17,FIFO-stop,125,46,0.368,0,0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.950035892644325
501,9,17,FIFO-skip,125,46,0.368,0,0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.950035892644325
501,9,17,MILP-upper-bound,125,46,0.368,0,0,0.34782608695652173,0.34782608695652173,0.30434782608695654,0.9500396489169705
