demand,target,policy,policy_id,runs,periods,requests_mean,requests_ci_low,requests_ci_high,dispatched_mean,dispatched_ci_low,dispatched_ci_high,completion_rate_mean,completion_rate_ci_low,completion_rate_ci_high,first24_completion_rate_mean,first24_completion_rate_ci_low,first24_completion_rate_ci_high,late24_service_ratio_mean,late24_service_ratio_ci_low,late24_service_ratio_ci_high,final_queue_mean,final_queue_ci_low,final_queue_ci_high,mean_wait_minutes_mean,mean_wait_minutes_ci_low,mean_wait_minutes_ci_high,late_mean_wait_minutes_mean,late_mean_wait_minutes_ci_low,late_mean_wait_minutes_ci_high,late_p95_wait_mean_mean,late_p95_wait_mean_ci_low,late_p95_wait_mean_ci_high,final_oldest_queue_age_mean,final_oldest_queue_age_ci_low,final_oldest_queue_age_ci_high,north_completion_rate_mean,north_completion_rate_ci_low,north_completion_rate_ci_high,central_completion_rate_mean,central_completion_rate_ci_low,central_completion_rate_ci_high,south_completion_rate_mean,south_completion_rate_ci_low,south_completion_rate_ci_high,north_route_share_mean,north_route_share_ci_low,north_route_share_ci_high,central_route_share_mean,central_route_share_ci_low,central_route_share_ci_high,south_route_share_mean,south_route_share_ci_low,south_route_share_ci_high,population_weighted_exposure_mean_mean,population_weighted_exposure_mean_ci_low,population_weighted_exposure_mean_ci_high,late_population_weighted_exposure_mean_mean,late_population_weighted_exposure_mean_ci_low,late_population_weighted_exposure_mean_ci_high,late_central_use_mean_mean,late_central_use_mean_ci_low,late_central_use_mean_ci_high,late_central_budget_mean_mean,late_central_budget_mean_ci_low,late_central_budget_mean_ci_high,late_central_budget_sd_mean,late_central_budget_sd_ci_low,late_central_budget_sd_ci_high,late_target_gap_mean,late_target_gap_ci_low,late_target_gap_ci_high,late_budget_direction_changes_mean,late_budget_direction_changes_ci_low,late_budget_direction_changes_ci_high,final_central_budget_mean,final_central_budget_ci_low,final_central_budget_ci_high,runtime_ms_mean,runtime_ms_ci_low,runtime_ms_ci_high
45,14,P2 fixed,p2,30,120,8457.633333333333,8433.555329254954,8481.711337411713,4677.533333333334,4676.2804925399205,4678.786174126747,0.5530886673349618,0.5514980633563772,0.5546792713135463,0.6134030267064153,0.6086015962331213,0.6182044571797094,0.5394685286164835,0.5346989247451431,0.5442381324878239,3780.1,3755.9851873937514,3804.2148126062484,11897.7652693794,11835.462387730317,11960.068151028485,22477.205585984924,22371.417355049904,22582.993816919945,22548.56727734852,22442.43555385222,22654.69900084482,25167.766666666666,25054.47631702446,25281.057016308874,0.551366897200719,0.5474903363082521,0.5552434580931859,0.5534062921830014,0.5511678943190185,0.5556446900469844,0.5538581910190862,0.5501242902759442,0.5575920917622281,0.3333380669178595,0.3333104775016485,0.3333656563340705,0.33335949698294914,0.333332267504054,0.3333867264618443,0.3333024360991914,0.3332815853531905,0.3333232868451923,13.108903188949565,13.105743826498717,13.112062551400413,13.11520753311194,13.11520555877113,13.11520950745275,13.130533093149783,13.13053248732278,13.130533698976786,14,14,14,0,0,0,0,0,0,0,0,0,14,14,14,80.67684716666669,76.56970645191709,84.7839878814163
45,14,P3-D0.50,p3d_05,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5060.033333333334,5059.794051009182,5060.272615657485,0.5983167007390763,0.5966112554522282,0.6000221460259244,0.6930713562301681,0.687831106298966,0.6983116061613702,0.5761248395886405,0.5710283313698716,0.5812213478074093,3397.6,3373.5801790200667,3421.619820979933,10375.222311775373,10312.007653258563,10438.436970292183,20168.89925583182,20061.192405877962,20276.60610578568,20239.60560394961,20131.877687146294,20347.333520752927,22645.933333333334,22529.10987439278,22762.75679227389,0.5988322530259919,0.5952807932312644,0.6023837128207193,0.5984139635691024,0.5960560491289757,0.600771878009229,0.5975061358492595,0.593415539201098,0.601596732497421,0.3338252047111218,0.3338049276877964,0.3338454817344472,0.33233641795047614,0.332300480071546,0.3323723558294063,0.3338383773384023,0.3338184899492504,0.33385826472755425,14.155126038092938,14.154174236369792,14.156077839816083,13.988147319800255,13.984480749799978,13.991813889800532,13.992345619245663,13.984850225325944,13.999841013165382,14.320958970352342,14.31589649531374,14.326021445390943,0.15060294492384685,0.14758425952049264,0.15362163032720105,0.3209589703523424,0.3158964953137411,0.3260214453909437,2.3333333333333335,2.062051432477783,2.6046152341888837,14.144261880792206,14.103361759962871,14.18516200162154,81.14037366666768,77.24092913432304,85.03981819901233
45,14,P3-U,p3u,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5032.133333333333,5032.009609750681,5032.257056915985,0.5950178799359064,0.5933137309723004,0.5967220288995123,0.6760353744988222,0.6705852820545645,0.68148546694308,0.5765104525045817,0.5713889749401933,0.5816319300689701,3425.5,3401.4120460877607,3449.5879539122393,10590.508451414737,10526.566011407762,10654.450891421711,20361.96516986339,20254.934769158554,20468.995570568226,20430.61908328865,20323.404004033866,20537.834162543433,22825.8,22709.185995826883,22942.414004173115,0.5952286316292225,0.5916286929262857,0.5988285703321592,0.595109966896307,0.5927527921745092,0.5974671416181049,0.5945305146544159,0.5904205901851797,0.5986404391236521,0.33385443039374135,0.3338462232090595,0.3338626375784232,0.3322911392125169,0.3322747248431532,0.33230755358188063,0.33385443039374135,0.3338462232090595,0.3338626375784232,14.075960888951753,14.075204347518637,14.07671743038487,13.986992598623853,13.97941967867553,13.994565518572177,13.984198854348456,13.973889100374116,13.994508608322796,14.521238723482565,14.511945037574002,14.530532409391128,0.3349750980850878,0.3281099139684977,0.3418402822016779,0.5212387234825646,0.5119450375740011,0.5305324093911281,3.7333333333333334,3.4858861680295896,3.980780498637077,14.766178774035835,14.691962393034052,14.840395155037617,82.96759023333337,74.81316329363582,91.12201717303091
45,14.05,P2 fixed,p2,30,120,8457.633333333333,8433.555329254954,8481.711337411713,4677.533333333334,4676.2804925399205,4678.786174126747,0.5530886673349618,0.5514980633563772,0.5546792713135463,0.6134030267064153,0.6086015962331213,0.6182044571797094,0.5394685286164835,0.5346989247451431,0.5442381324878239,3780.1,3755.9851873937514,3804.2148126062484,11897.7652693794,11835.462387730317,11960.068151028485,22477.205585984924,22371.417355049904,22582.993816919945,22548.56727734852,22442.43555385222,22654.69900084482,25167.766666666666,25054.47631702446,25281.057016308874,0.551366897200719,0.5474903363082521,0.5552434580931859,0.5534062921830014,0.5511678943190185,0.5556446900469844,0.5538581910190862,0.5501242902759442,0.5575920917622281,0.3333380669178595,0.3333104775016485,0.3333656563340705,0.33335949698294914,0.333332267504054,0.3333867264618443,0.3333024360991914,0.3332815853531905,0.3333232868451923,13.108903188949565,13.105743826498717,13.112062551400413,13.11520753311194,13.11520555877113,13.11520950745275,13.130533093149783,13.13053248732278,13.130533698976786,14.05000000000001,14.050000000000008,14.050000000000011,5.443687297790757e-15,5.443687297790756e-15,5.4436872977907576e-15,5.329070518200751e-15,5.329070518200751e-15,5.329070518200751e-15,0,0,0,14.050000000000008,14.050000000000006,14.05000000000001,76.3348985666667,74.76015298183772,77.90964415149567
45,14.05,P3-D0.50,p3d_05,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5077.966666666666,5077.85221270731,5078.081120626022,0.6004373026111032,0.5987212354514456,0.6021533697707607,0.6943458120241186,0.6890066637516332,0.699684960296604,0.5798133972095967,0.574687092194032,0.5849397022251613,3379.6666666666665,3355.609972607795,3403.723360725538,10327.217232580786,10263.945105275356,10390.489359886216,20071.046770585544,19963.518714025286,20178.574827145803,20142.762779547018,20035.086236162,20250.439322932038,22525,22406.837002816243,22643.162997183757,0.6009441083238485,0.5972737208768867,0.6046144957708103,0.60070580818691,0.5983305011833099,0.6030811151905101,0.5991484424913259,0.5950019805879819,0.6032949043946699,0.33379502422242485,0.3337875003556113,0.3338025480892384,0.3324033885834371,0.3323909093260408,0.3324158678408334,0.3338015871941384,0.33379138958626003,0.33381178480201673,14.206985389020721,14.206420274744893,14.207550503296549,14.062877664047694,14.062874226781089,14.062881101314298,14.057250284189399,14.057249202622803,14.057251365755995,14.373908161767014,14.372758800449548,14.37505752308448,0.15878807915447804,0.15800234108066863,0.15957381722828745,0.3239081617670127,0.32275880044954613,0.32505752308447927,2,2,2,14.368061305959058,14.340812875413018,14.395309736505098,76.66874593333341,74.23468188362345,79.10280998304337
45,14.05,P3-U,p3u,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5049.566666666667,5049.3863101019915,5049.747023231342,0.5970791900528563,0.5953723502392925,0.59878602986642,0.6783367844431729,0.6728462130815192,0.6838273558048267,0.579157919523416,0.5740699668337483,0.5842458722130837,3408.0666666666666,3384.006375275585,3432.126958057748,10535.458148541371,10471.485455808679,10599.430841274063,20259.901030135403,20152.987332344524,20366.81472792628,20330.079929801726,20222.79607289845,20437.363786705002,22714.066666666666,22596.950907527105,22831.182425806226,0.5976579148127709,0.5940588308560436,0.6012569987694981,0.5971572426618911,0.5947556584663367,0.5995588268574454,0.5962631373657938,0.5921407686554726,0.6003855060761151,0.3337778130754251,0.3337481120333708,0.3338075141174794,0.3324443725418293,0.3324078265578991,0.3324809185257595,0.33377781438274545,0.3337462268700157,0.3338094018954752,14.128584986845885,14.12775443791316,14.12941553577861,14.056432802076253,14.054939986423479,14.057925617729028,14.057022434963471,14.056967738447172,14.05707713147977,14.566257296998781,14.558114676090014,14.574399917907549,0.3302841726224294,0.3280751436411501,0.33249320160370865,0.5162572969987788,0.508114676090011,0.5243999179075465,2,2,2,14.333296954330256,14.233777471587342,14.432816437073171,88.5530179333325,77.90648552244134,99.19955034422365
45,14.1,P2 fixed,p2,30,120,8457.633333333333,8433.555329254954,8481.711337411713,4914.966666666666,4912.751803201669,4917.181530131664,0.5811635680234013,0.5794828299895002,0.5828443060573024,0.6432454869866918,0.6382653252748505,0.6482256486985332,0.5671335813660469,0.5621193824243813,0.5721477803077124,3542.6666666666665,3518.51654298438,3566.816790348953,11132.733645724971,11070.053042126096,11195.414249323847,21073.56983303961,20966.80515250306,21180.334513576163,21145.16115146616,21038.266698027423,21252.055604904897,23608.866666666665,23497.906423725773,23719.826909607556,0.5807725609474931,0.5771691624540302,0.584375959440956,0.5813061426558322,0.579034659955211,0.5835776253564535,0.5811361946008152,0.577034356276723,0.5852380329249075,0.3413857802273124,0.34135214678164016,0.3414194136729847,0.31720814478560766,0.3171507898850218,0.3172654996861935,0.34140607498708,0.3413674527779547,0.34144469719620524,13.37900957655179,13.374071678161872,13.383947474941706,13.389408125647936,13.389405744695814,13.389410506600058,13.140574685289216,13.140573943903485,13.140575426674948,14.100000000000005,14.100000000000003,14.100000000000007,1.814562432596919e-15,1.814562432596919e-15,1.814562432596919e-15,1.7763568394002505e-15,1.7763568394002505e-15,1.7763568394002505e-15,0,0,0,14.100000000000005,14.100000000000003,14.100000000000007,78.71676663333331,72.38630313722801,85.0472301294386
45,14.1,P3-D0.50,p3d_05,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5092.966666666666,5092.818575569094,5093.114757764239,0.6022110267020456,0.600486652482193,0.6039354009218982,0.6960291538683311,0.690695234427165,0.7013630733094972,0.5798893662914136,0.574774783009291,0.5850039495735363,3364.6666666666665,3340.5824556831753,3388.7508776501577,10290.267304058165,10227.172210175313,10353.362397941017,19969.88184229527,19862.27391844407,20077.489766146475,20042.14763967803,19934.366425333126,20149.928854022935,22428.133333333335,22311.27832531772,22544.98834134895,0.6028828223527373,0.5992247292261812,0.6065409154792933,0.602383165662521,0.6000362727190448,0.6047300586059973,0.6010405736464335,0.5969405828312133,0.6051405644616537,0.33378711907062786,0.33377491517056196,0.33379932297069376,0.3324323080750316,0.3324189940800305,0.3324456220700327,0.3337805728543409,0.33376670531793523,0.3337944403907465,14.249686253202892,14.24910653317514,14.250265973230643,14.066957699715923,14.061401440136708,14.072513959295138,14.062805395848985,14.055240331593163,14.070370460104806,14.384866922345994,14.379199989483217,14.390533855208771,0.2137317368137047,0.2013140106064361,0.22614946302097327,0.28486692234599315,0.2791999894832159,0.2905338552087704,1.8666666666666667,1.685090088772251,2.0482432445610823,14.583189751905532,14.55594458777856,14.610434916032505,77.21041386666742,73.96230485273284,80.458522880602
45,14.1,P3-U,p3u,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5067.8,5067.654414854869,5067.945585145131,0.5992352371997535,0.5975189335835218,0.6009515408159851,0.6811117925918259,0.6757069707722545,0.6865166144113972,0.581426029275891,0.5763019895714979,0.5865500689802842,3389.8333333333335,3365.745684944497,3413.92098172217,10483.79646238765,10419.966531590473,10547.626393184828,20150.168432397386,20042.737368861275,20257.599495933497,20222.04248761571,20114.209517503255,20329.87545772816,22593.633333333335,22476.021863637234,22711.244803029436,0.5998587491488117,0.5962480477343511,0.6034694505632722,0.5993624351451771,0.5970060879050764,0.6017187823852778,0.5982361933880523,0.5941609865558973,0.6023114002202073,0.33384637439473897,0.3338284649087129,0.33386428388076506,0.3322940941813792,0.3322845470776676,0.33230364128509077,0.33385953142388186,0.3338443883121941,0.3338746745355696,14.17579912294267,14.175636864164721,14.17596138172062,14.1037913466385,14.102962407333184,14.104620285943817,14.09929988300667,14.099270259196667,14.099329506816675,14.414367428292366,14.414326251344653,14.414408605240078,0.24319977325971578,0.24314609418411823,0.24325345233531334,0.31436742829236647,0.3143262513446543,0.31440860524007863,1,1,1,15.25456157981077,15.254212299686749,15.254910859934792,73.73878326666623,72.67374171047862,74.80382482285384
45,14.15,P2 fixed,p2,30,120,8457.633333333333,8433.555329254954,8481.711337411713,5033.433333333333,5030.690808825817,5036.17585784085,0.5951713560857627,0.5934469091226395,0.5968958030488858,0.6580021609116773,0.6529015492606616,0.663102772562693,0.5809661077408284,0.5758296112640002,0.5861026042176565,3424.2,3400.05224117679,3448.3477588232095,10751.883016369222,10688.471556881166,10815.294475857278,20371.689909589957,20263.506827827863,20479.87299135205,20443.21404381288,20334.73370882139,20551.69437880437,22817.7,22698.288591790122,22937.11140820988,0.5953632243942356,0.5917729008178079,0.5989535479706634,0.5952872935826109,0.5929487403565085,0.5976258468087133,0.5946326718706577,0.5904345322772444,0.598830811464071,0.3333311538476877,0.3333058797187035,0.33335642797667187,0.3333642634618513,0.3333358634085867,0.3333926635151159,0.333304582690461,0.33326631703654436,0.3333428483443776,14.106441638123199,14.098879394312853,14.114003881933545,14.124069441809029,14.124067164342286,14.124071719275772,14.140574049022783,14.140573342485983,14.140574755559584,14.149999999999995,14.149999999999993,14.149999999999997,1.814562432596919e-15,1.814562432596919e-15,1.814562432596919e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0,0,0,14.149999999999995,14.149999999999993,14.149999999999997,75.05196110000016,73.42869531691656,76.67522688308375
