setting,policy,target,delay,damping,seed,periods,requests,dispatched,completion_rate,first24_completion_rate,late24_service_ratio,final_queue,final_queue_north,final_queue_central,final_queue_south,late_trip_north_share,late_trip_central_share,late_trip_south_share,late_budget_mean,late_budget_sd,late_dispatch_mean,late_dispatch_sd,late_use_mean,late_use_sd,late_direction_changes,final_central_budget,target_gap,first_sustained_within_point_one,first_sustained_dispatch_below_40
p2_b13,P2,13,0,0,511,120,14783,4320,0.2922275586822702,0.3238380809595202,0.288,10463,2048,6263,2152,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120503763793822,0.000008637878481466072,0,13,0,1,1
p2_b13,P2,13,0,0,512,120,14929,4320,0.2893696831669904,0.3329479768786127,0.2794307891332471,10609,2043,6429,2137,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120505577771077,0.000007532554346715301,0,13,0,1,1
p2_b13,P2,13,0,0,513,120,14926,4320,0.2894278440305507,0.3237167478456351,0.2816166883963494,10606,2068,6355,2183,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120500327829836,0.000008680318574171681,0,13,0,1,1
p2_b13,P2,13,0,0,514,120,14983,4320,0.2883267703397184,0.3175303197353914,0.28848080133555926,10663,2150,6387,2126,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120507282988159,0.000014306426058251066,0,13,0,1,1
p2_b13,P2,13,0,0,515,120,14802,4320,0.2918524523713012,0.3255463451394122,0.289738430583501,10482,2084,6318,2080,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120505624622169,0.000010298545799588641,0,13,0,1,1
p2_b13,P2,13,0,0,516,120,14879,4320,0.2903420928825862,0.3260377358490566,0.2831858407079646,10559,2085,6337,2137,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120508399818858,0.000013084366259797212,0,13,0,1,1
p2_b13,P2,13,0,0,517,120,14968,4320,0.28861571352218063,0.3287671232876712,0.28125,10648,2153,6376,2119,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120504902881704,0.000012448032393287553,0,13,0,1,1
p2_b13,P2,13,0,0,518,120,15023,4320,0.28755907608333886,0.32190760059612517,0.2793404461687682,10703,2186,6358,2159,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.12050471606009,0.000013841123006231904,0,13,0,1,1
p2_b13,P2,13,0,0,519,120,14890,4320,0.29012760241773,0.33410672853828305,0.2777242044358727,10570,2140,6314,2116,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120507384258852,0.00001700910057420393,0,13,0,1,1
p2_b13,P2,13,0,0,520,120,15146,4320,0.28522382147101544,0.3271488072699735,0.2776349614395887,10826,2208,6479,2139,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120508733164561,0.00001313642497246839,0,13,0,1,1
p2_b13,P2,13,0,0,521,120,15092,4297,0.2847203816591572,0.3111357750647429,0.28590337524818,10795,2118,6494,2183,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120502525410545,0.000011779605035743645,0,13,0,1,1
p2_b13,P2,13,0,0,522,120,14972,4320,0.2885386053967406,0.3185840707964602,0.28253760627861346,10652,2221,6437,1994,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120506206337133,0.000010215638257433553,0,13,0,1,1
p2_b13,P2,13,0,0,523,120,15011,4297,0.28625674505362736,0.3246899661781285,0.2843976300197498,10714,2191,6420,2103,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,0,36,0,12.120502903349637,0.000014205084371770769,0,13,0,1,1
