seed,source_period,budget,method,requests,planned,dispatched,completed,final_queue,mean_wait_minutes,schedule_gap,plan_execution_rate,complete_plan,north_route_share,central_route_share,south_route_share,peak_budget_use
501,9,13,Greedy event,125,0,36,36,89,90.16500875418681,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323457329380117
501,9,13,Planned event,125,36,36,36,89,61.677562715495775,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9323417897099305
501,9,13.5,Greedy event,125,0,39,39,86,98.7746510376769,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9726329052230303
501,9,13.5,Planned event,125,39,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.972628163339372
501,9,13.75,Greedy event,125,0,39,39,86,98.7746510376769,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549486705826116
501,9,13.75,Planned event,125,39,39,39,86,63.792463278591825,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9549441860476835
501,9,14,Greedy event,125,0,39,39,86,98.7746510376769,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378960157507791
501,9,14,Planned event,125,39,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9378914432201086
501,9,14.05,Greedy event,125,0,23,23,102,51.89907107722215,0,0,0,0.30434782608695654,0.6086956521739131,0.08695652173913043,0.9996573780481485
501,9,14.05,Planned event,125,39,39,39,86,69.43417363991911,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9345537512513538
501,9,14.1,Greedy event,125,0,33,33,92,81.08097523962574,0,0,0,0.3939393939393939,0.42424242424242425,0.18181818181818182,0.9996724225427779
501,9,14.1,Planned event,125,41,41,41,84,69.62653256128468,0,1,1,0.34146341463414637,0.3170731707317073,0.34146341463414637,0.9982534629896129
501,9,14.15,Greedy event,125,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993341685854449
501,9,14.15,Planned event,125,42,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9993298334935651
501,9,14.2,Greedy event,125,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9958153863016934
501,9,14.2,Planned event,125,42,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9958110664742217
501,9,14.25,Greedy event,125,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9923212972269506
501,9,14.25,Planned event,125,42,42,42,83,75.47158617831377,0,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9923169925567682
501,9,14.5,Greedy event,125,0,42,42,83,106.61251359611012,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9752123093437273
